name,variant,excess_index,lo,hi,n
base_quiet,main,-0.05510644951830048,-0.11296284256696543,0.0047664231962297144,76
base_quiet,amount_20억,-0.05764714617375838,-0.11593923580223278,-6.805670115226641e-05,76
base_quiet,exclude_past_jump35,-0.05510644951830048,-0.11296284256696543,0.0047664231962297144,76
base_quiet,top10,-0.05392684041384468,-0.11421933434276518,0.008969523213536666,76
base_quiet,top40,-0.05950117950611212,-0.11835034245187678,0.0019918350324766502,76
base_quiet_turn,main,-0.049673776250674595,-0.11042973655167583,0.01378785021834126,76
base_quiet_turn,amount_20억,-0.04801850273676741,-0.10707502486421569,0.009946472545637446,76
base_quiet_turn,exclude_past_jump35,-0.049673776250674595,-0.11042973655167583,0.01378785021834126,76
base_quiet_turn,top10,-0.05231209917232054,-0.1121388437692532,0.013626365392847745,76
base_quiet_turn,top40,-0.0488772887423403,-0.10712865784343832,0.012348682902593293,76
pullback_quiet,main,-0.054602136628592875,-0.1011400159225984,-0.012535805088321507,76
pullback_quiet,amount_20억,-0.055252827725965604,-0.09785454466889636,-0.019983513740327693,76
pullback_quiet,exclude_past_jump35,-0.05464892227802126,-0.10114924271757623,-0.012674992395370944,76
pullback_quiet,top10,-0.06048649530029868,-0.11179978335612606,-0.014548725023265638,76
pullback_quiet,top40,-0.05671802584775708,-0.10272902712794262,-0.016609632194334627,76
quiet_gate_steady,main,-0.03768255340154788,-0.09808213151458856,0.02383416645339075,76
quiet_gate_steady,amount_20억,-0.0459966999181984,-0.09986945416594019,0.006848963564496464,76
quiet_gate_steady,exclude_past_jump35,-0.03768255340154788,-0.09808213151458856,0.02383416645339075,76
quiet_gate_steady,top10,-0.03605383239304795,-0.09746072863927248,0.02680968167914078,76
quiet_gate_steady,top40,-0.041699671459250756,-0.09755337833072311,0.015410785189285256,76
quiet_strength_clv,main,-0.049288125956366294,-0.10780652560578502,0.011183875172601932,76
quiet_strength_clv,amount_20억,-0.02590818248267538,-0.07378764936545627,0.015668325450587606,76
quiet_strength_clv,exclude_past_jump35,-0.049288125956366294,-0.10780652560578502,0.011183875172601932,76
quiet_strength_clv,top10,-0.04559461565134253,-0.10603818354128441,0.018107494179870433,76
quiet_strength_clv,top40,-0.04658861302854623,-0.10486205742211013,0.013004718648479172,76
recovery_quiet,main,-0.04540478165961071,-0.10414073255641434,0.012926948803568719,76
recovery_quiet,amount_20억,-0.038217132276081096,-0.08810704908603126,0.008015451815109707,76
recovery_quiet,exclude_past_jump35,-0.04540478165961071,-0.10414073255641434,0.012926948803568719,76
recovery_quiet,top10,-0.04689797984389288,-0.11026985962679021,0.017840319816586646,76
recovery_quiet,top40,-0.043720054419125465,-0.1011250740407197,0.012539294538440304,76
relative_quiet,main,-0.051568860906811766,-0.11060382003077095,0.008947475425338736,76
relative_quiet,amount_20억,-0.046342373736488175,-0.10158243325178519,0.006031442987975581,76
relative_quiet,exclude_past_jump35,-0.051568860906811766,-0.11060382003077095,0.008947475425338736,76
relative_quiet,top10,-0.05495167773128523,-0.1159730636385939,0.010081359480376105,76
relative_quiet,top40,-0.04818575321656584,-0.10521942706250281,0.010317764772522654,76
quiet_strength_with_size,main,-0.029710370398164605,-0.07991346854219668,0.022662768284516785,76
quiet_strength_with_size,amount_20억,-0.0200490312027788,-0.060211656467502365,0.020628271464988437,76
quiet_strength_with_size,exclude_past_jump35,-0.029710370398164605,-0.07991346854219668,0.022662768284516785,76
quiet_strength_with_size,top10,-0.03088910521951706,-0.08358180569563672,0.024711397902440816,76
quiet_strength_with_size,top40,-0.02157948821310788,-0.06522997777272842,0.025171414803014183,76
squeeze_60,main,-0.046844658414274966,-0.08839157600887497,-0.0070317817477432345,76
squeeze_60,amount_20억,-0.033932600628014196,-0.06570663426410567,-0.004385569554453131,76
squeeze_60,exclude_past_jump35,-0.046844658414274966,-0.08839157600887497,-0.0070317817477432345,76
squeeze_60,top10,-0.056401665426440796,-0.09983114575548542,-0.016027966566605607,76
squeeze_60,top40,-0.04077216724822297,-0.08083520150249643,-0.00022542413712528156,76
volume_upvolume,main,-0.059484309734825984,-0.11772141168077467,-0.002332640540122362,76
volume_upvolume,amount_20억,-0.05695447142486407,-0.1128408085760237,-0.006012575197367196,76
volume_upvolume,exclude_past_jump35,-0.059484309734825984,-0.11772141168077467,-0.002332640540122362,76
volume_upvolume,top10,-0.059909439605772254,-0.12092572131356602,-0.0008584487805483776,76
volume_upvolume,top40,-0.05453341572486251,-0.11083298007951072,0.0003648650627708784,76
quiet_strength_with_turn,main,-0.047582042966937896,-0.10768873714729293,0.01570963384601545,76
quiet_strength_with_turn,amount_20억,-0.03601548529320058,-0.08507963121319824,0.012386526965038126,76
quiet_strength_with_turn,exclude_past_jump35,-0.047582042966937896,-0.10768873714729293,0.01570963384601545,76
quiet_strength_with_turn,top10,-0.04796814065415413,-0.10971900451308297,0.018077834637055056,76
quiet_strength_with_turn,top40,-0.045329271928609284,-0.1043784873702022,0.01789477416880776,76
quiet_strength_no_shares,main,-0.051568860906811766,-0.11060382003077095,0.008947475425338736,76
quiet_strength_no_shares,amount_20억,-0.046342373736488175,-0.10158243325178519,0.006031442987975581,76
quiet_strength_no_shares,exclude_past_jump35,-0.051568860906811766,-0.11060382003077095,0.008947475425338736,76
quiet_strength_no_shares,top10,-0.05495167773128523,-0.1159730636385939,0.010081359480376105,76
quiet_strength_no_shares,top40,-0.04818575321656584,-0.10521942706250281,0.010317764772522654,76
