name,market,h,year,n,mean_slots,net,net_lo,net_hi,excess_index,excess_index_lo,excess_index_hi,excess_ew,excess_ew_lo,excess_ew_hi,delta_quiet,delta_quiet_lo,delta_quiet_hi
base_nearhigh,KOSDAQ,20,2024,49,19.918367346938776,-0.027237215270593768,-0.05450947823151075,-0.000962534405940487,-0.015300939146777236,-0.03353278794966921,0.0033816006255590132,-0.007302088143481717,-0.02473386873579479,0.009829131067421542,-0.018515605275279363,-0.04105829089869397,0.0036246692921196827
base_nearhigh,KOSDAQ,20,2025,49,19.959183673469386,0.01397152503268513,-0.022401749234898297,0.05096391990503579,-0.01526450555758989,-0.04545970959824191,0.012674763625252477,0.001642305156700728,-0.029929485639117463,0.028759789790773135,0.003840208435932583,-0.03379925290077784,0.04023326223092535
base_nearhigh,KOSDAQ,20,2026,31,19.838709677419356,-0.010295529680986827,-0.09356670077212047,0.0710035566063885,0.006597057993540563,-0.03753856541397471,0.0488601376987291,0.008998302491685822,-0.03706557648046753,0.050984328988413166,-0.006144522066413904,-0.06628556710517788,0.05119904324278515
base_nearhigh,KOSDAQ,40,2024,49,19.918367346938776,-0.048817759182925476,-0.09901422314726585,-0.0001084651452277745,-0.030060425731954197,-0.05617454739289384,-0.002055142286671495,-0.01572476784209907,-0.042313758511070707,0.012674102922325868,-0.0304777937836644,-0.06268263748802351,0.0046096058735638585
base_nearhigh,KOSDAQ,40,2025,49,19.959183673469386,0.06382614692488864,-0.004537579486858453,0.13890348689675616,-0.00043855493541564605,-0.04425649032456536,0.04521114985525003,0.02978485877356341,-0.02230138100038697,0.08137812840287119,0.026818230588079365,-0.048540137118080424,0.10559210423804363
base_nearhigh,KOSDAQ,40,2026,27,19.814814814814813,-0.03557338166142848,-0.19484123204351944,0.117743815604008,0.03187892016291808,-0.029519767171082803,0.09521058115072739,0.028180989318224305,-0.0409835169007836,0.08717120176653158,-0.015834278780474918,-0.13307134062923406,0.09530710254188199
base_nearhigh,KOSDAQ,60,2024,49,19.918367346938776,-0.07203702463534932,-0.12823323533115824,-0.014143161160802229,-0.03591065872980303,-0.06036386511098753,-0.007957706767844611,-0.01909756811765225,-0.047468574945112786,0.009579710933778594,-0.04938754972880377,-0.08682491595053562,-0.020176144249101913
base_nearhigh,KOSDAQ,60,2025,49,19.959183673469386,0.12700727049201288,0.021832531224985335,0.2642656066628362,0.02251063808010031,-0.06262975649741973,0.11890094181324064,0.06586463531277398,-0.021033796576795504,0.16625473703921595,0.045182314266306194,-0.04557896433212034,0.1541974433583683
base_nearhigh,KOSDAQ,60,2026,23,19.782608695652176,-0.10007044909293347,-0.24086338430786924,0.0411659988745514,0.02225277336292496,-0.007365882209073873,0.051871428934923795,0.019168728488402394,-0.014288448913543214,0.054582408145370784,-0.04356325155550989,-0.1311630252012669,0.04610559835601606
base_nearhigh,KOSPI,20,2024,49,20.0,-0.010605832265723774,-0.03572618821328188,0.021486479375818074,-0.01131889549307492,-0.036102004400781186,0.02116056011690957,-0.005113842991377481,-0.025775077943945773,0.02183242521528459,-0.012715335011597793,-0.0363813670581746,0.019244266665220864
base_nearhigh,KOSPI,20,2025,49,19.979591836734695,0.023716014437778328,-0.008757128436431031,0.05959622520031218,-0.03515938295456052,-0.06391758248275621,-0.003158191469311769,0.002801070218071342,-0.017255008213906815,0.025193700749396246,0.012977020089932437,-0.01082683150172387,0.03786256671204853
base_nearhigh,KOSPI,20,2026,31,19.903225806451612,0.010595048698145777,-0.0551764873670646,0.07453661923889472,-0.04466206074696745,-0.10476346868703304,0.013142664338706079,0.0048046870957314846,-0.026156092763319892,0.036883444177698774,0.01954857225182976,-0.042918443014544776,0.0773796496226205
base_nearhigh,KOSPI,40,2024,49,20.0,-0.0037133454124156583,-0.03633209145168842,0.04540285282720554,-0.0038259968412070913,-0.03952352771389429,0.04026184517529741,0.00471341420917053,-0.024995829665856756,0.04306739212990785,-0.0017014153800272759,-0.03852821900697127,0.04726681214576836
base_nearhigh,KOSPI,40,2025,49,19.979591836734695,0.05179989402309187,0.009035457856188955,0.10177073162659904,-0.07931646175887386,-0.12373240991661744,-0.036234583551528116,-0.00308604565034721,-0.021130471702836492,0.016980242672286087,0.021049690815157944,-0.00560265094438555,0.045474197960939454
base_nearhigh,KOSPI,40,2026,27,19.88888888888889,-0.01619447598188392,-0.1374160178915773,0.07733919721556153,-0.11535739895050968,-0.2464237581560797,0.009350305485171014,-0.01287469257105034,-0.06428242675231362,0.039412551356607935,0.01097270221521147,-0.1028205708075603,0.11549734889379772
base_nearhigh,KOSPI,60,2024,49,20.0,-0.017480086842199153,-0.05329892393480112,0.022251543580058396,-0.014195932544969744,-0.041914517756082334,0.011485128981385952,-0.004662125244305954,-0.02903300571919195,0.020485387014657967,-0.006635651865568153,-0.034234211880067866,0.025981994561318375
base_nearhigh,KOSPI,60,2025,49,19.979591836734695,0.09241217171087908,0.0424871424798632,0.14028678573679304,-0.11131702536012725,-0.16723603844081594,-0.04454463254575676,0.004560055308270799,-0.020734074652400156,0.03496233971175473,0.039734589296697605,0.009182484173927573,0.083349613036689
base_nearhigh,KOSPI,60,2026,23,19.91304347826087,-0.060328320059075964,-0.16901543307722855,0.051345177510437476,-0.24015917471208817,-0.39697248772498606,-0.08781292594738303,-0.04677063001363103,-0.079618830552539,-0.012360457869879653,-0.007934007156862698,-0.10733386366992183,0.09396057977941301
base_quiet,KOSDAQ,20,2024,49,20.0,-0.008721609995314407,-0.024118971427524245,0.004623706519388967,0.0032146661285021253,-0.017002109512991238,0.022477334228186454,0.011213517131797647,-0.0064911264536986375,0.025658362363664512,0.0,0.0,0.0
base_quiet,KOSDAQ,20,2025,49,20.0,0.01013131659675255,-0.0018575586662697393,0.024041436969817895,-0.019104713993522468,-0.03916615695779892,-0.0002076700946245076,-0.0021979032792318557,-0.02128314886260354,0.015276199017542347,0.0,0.0,0.0
base_quiet,KOSDAQ,20,2026,31,20.0,-0.00415100761457292,-0.04824271445094279,0.03541073229570506,0.012741580059954467,-0.027753949949588085,0.05740973622559925,0.015142824558099725,-0.026422632547679906,0.05926953166191748,0.0,0.0,0.0
base_quiet,KOSDAQ,40,2024,49,20.0,-0.01833996539926108,-0.04653715142612144,0.0043771065792705,0.00041736805171020377,-0.03581874963298266,0.03283168904966947,0.014753025941565329,-0.013522676055599205,0.03886675636780589,0.0,0.0,0.0
base_quiet,KOSDAQ,40,2025,49,20.0,0.03700791633680928,0.015345993552807122,0.06361474176763467,-0.027256785523495013,-0.06579347436024312,0.016368569010356427,0.002966628185484046,-0.029894221709803152,0.03274413993952245,0.0,0.0,0.0
base_quiet,KOSDAQ,40,2026,27,20.0,-0.019739102880953572,-0.11962412867651025,0.07113061513002872,0.04771319894339299,-0.008505303539774153,0.11385367118998695,0.04401526809869922,-0.019995422837511538,0.10893728410543739,0.0,0.0,0.0
base_quiet,KOSDAQ,60,2024,49,20.0,-0.022649474906545546,-0.05816565292607918,0.010651552442278734,0.013476890999000736,-0.014156585370579238,0.03720765102541315,0.030289981611151512,0.0026759877477537286,0.05005064718049217,0.0,0.0,0.0
base_quiet,KOSDAQ,60,2025,49,20.0,0.0818249562257067,0.029142206261696547,0.13055181345062522,-0.022671676186205875,-0.0749872810810703,0.033098234128115404,0.02068232104646778,-0.019480693460768292,0.06017246749791605,0.0,0.0,0.0
base_quiet,KOSDAQ,60,2026,23,20.0,-0.05650719753742361,-0.15169006806479582,0.03723646539714197,0.06581602491843484,0.0025050072514590897,0.12858910885875244,0.0627319800439123,-0.006734562170809736,0.13170458107066552,0.0,0.0,0.0
base_quiet,KOSPI,20,2024,49,20.0,0.002109502745874022,-0.010231451816465858,0.018811997929420378,0.001396439518522872,-0.011423750992733302,0.013835527196037757,0.007601492020220313,-0.00438292292038566,0.019029710206840144,0.0,0.0,0.0
base_quiet,KOSPI,20,2025,49,20.0,0.010738994347845887,-0.0033462563082765195,0.027439549847473804,-0.04813640304449296,-0.07942730422823305,-0.019973426202180438,-0.010175949871861097,-0.020365591875340334,-0.00026641943328966917,0.0,0.0,0.0
base_quiet,KOSPI,20,2026,31,20.0,-0.00895352355368398,-0.03458444204292056,0.014453786831065098,-0.06421063299879722,-0.15806439304219183,0.034047288803722944,-0.014743885156098277,-0.04981886172452857,0.021262814585954894,0.0,0.0,0.0
base_quiet,KOSPI,40,2024,49,20.0,-0.002011930032388383,-0.018502308029117225,0.019963617869201773,-0.0021245814611798156,-0.01959809387904753,0.014864941483774022,0.006414829589197804,-0.012559388496914138,0.023696375931518292,0.0,0.0,0.0
base_quiet,KOSPI,40,2025,49,20.0,0.030750203207933927,0.001487740695901782,0.07508276390928588,-0.10036615257403181,-0.1604271047144943,-0.04198053869258378,-0.02413573646550515,-0.04200536394994752,-0.007251770757654192,0.0,0.0,0.0
base_quiet,KOSPI,40,2026,27,20.0,-0.027167178197095382,-0.07977009137744644,0.015833707844103432,-0.12633010116572116,-0.35075689223963574,0.08145631173525518,-0.023847394786261807,-0.08749467745647974,0.044524636455023386,0.0,0.0,0.0
base_quiet,KOSPI,60,2024,49,20.0,-0.010844434976630998,-0.026363820770406086,0.00758168213877987,-0.007560280679401594,-0.0313893598582224,0.018415959971386415,0.0019735266212622,-0.02094071145679144,0.025031749638176296,0.0,0.0,0.0
base_quiet,KOSPI,60,2025,49,20.0,0.0526775824141815,0.014117520687720299,0.10891051853522045,-0.15105161465682487,-0.230285498364105,-0.06015409435850298,-0.0351745339884268,-0.06236976099555871,-0.011116444799069546,0.0,0.0,0.0
base_quiet,KOSPI,60,2026,23,20.0,-0.05239431290221328,-0.11352400735321112,0.0071374778032657505,-0.23222516755522554,-0.4746640671203477,0.010213732009896654,-0.03883662285676833,-0.11241944503064055,0.035283289208419305,0.0,0.0,0.0
