second,spread_pp,lo,hi,n,top_vs_all_pp,rg_강세,rg_조정,rg_반등,rg_약세,y2024,y2025,y2026
size,1.7184543951925197,0.6601281269246019,2.8593065855022974,126,0.9694024542136874,2.1001783990856397,0.5712952467254764,3.315428114627031,1.0631126819063597,2.073480058454168,1.6103769840258817,1.286294954026253
logprice,1.3268176910625396,0.4522826778475858,2.2405223823501026,126,0.5575130994292261,1.1497220197114528,0.7054666864342706,2.836872750816251,1.3182805968327314,1.398667929039244,1.220647261078477,1.3868780270754157
mom_consist,1.131999628359776,0.46954504437538064,2.0325794253950815,126,0.6207059190020633,1.406862817894205,1.1620213628386438,2.119716146775208,0.5314155265131376,1.0792164780975844,1.4418800656217496,0.682079376110156
amihud20,1.081554976190259,0.141437126357744,2.198539033051146,126,0.8057382449109446,1.395794422302252,0.4560135006536749,3.146674067191095,0.3002331612359216,1.648723080831747,0.7434994164730183,0.6806080225728267
nh252,0.9278056294508067,0.06150591596746984,2.018229915160047,126,0.34573845439955536,0.6274896435403138,1.0394391272266628,3.87821744151214,0.592147536884985,1.1873663526173888,0.6065689858372091,1.0357384902330842
mom63,0.8668540971923266,0.22411096586762552,1.7126800682085306,126,0.1604706675094624,0.5755316983072524,1.368692569712747,2.377748120769687,0.7873533019981905,1.0420909754345566,1.0565193644844562,0.22827534250719808
days_since_high,0.7443085291630804,0.07161891831750469,1.4866109974469621,126,0.3356429122007973,0.4870079381363815,0.32686399133872257,2.705855229024873,0.6925264118487635,0.6874655310474276,0.8388162245529703,0.6783953089331649
mom21,0.7351109246237476,-0.04853403486576761,1.8689157596156774,126,0.276647115518787,0.4257254888562641,0.34129018382871934,3.189712540616289,0.6287390776082328,1.0120311975487322,1.3134899814827192,-0.7616629024981755
to20,0.7283598236603399,0.07187140973144705,1.3124161479105543,126,0.3029321586676642,0.2970243658011261,-0.4302053520179561,1.9006864088025894,1.237308119662356,1.1615723323414717,0.46361693043172425,0.43353799661843617
sma20gap,0.3475958636699522,-0.3911694078084711,1.491761885090011,126,0.028184720466757938,0.0997178182185525,0.6257224480031082,2.204417355094647,0.1724764519832985,0.39061013775556486,0.8257404106481853,-0.5644320731917785
skew60,0.26332763583309177,-0.4115722011925364,0.8783251837279427,126,0.15811358177629126,0.6327823970257413,0.3103926579272834,0.4008914789502941,-0.2606739542689936,-0.2707396967560105,0.9448259363786413,0.005323441909309539
clv20,0.15099513137617668,-0.4340743581145831,0.9234204826514683,126,-0.24813349875584811,-0.02425302985652573,1.2582393196901223,1.08913818118841,-0.061393598380300306,-0.004661028464003426,0.6435300659801696,-0.43854272446049597
ret5,0.002792832828503092,-0.946449601486829,0.691703923007778,126,-0.02386764546210842,0.044052429453818126,0.04649773082562526,-2.1849734028630863,0.463586500504905,0.011257329682761842,-0.4882874295784135,0.8473704225456544
min_ret20,-0.06456201381856078,-0.5527189030732442,0.5130958632917801,126,0.06021376579293116,-0.37939366733471575,-0.28378784930421574,0.6902114212801538,0.208490680621751,0.312214144812237,-0.7651484157334848,0.5021059119286602
hl_range20,-0.19361286024399557,-0.7507997596069809,0.4886831210042225,126,-0.3158828141690261,-0.4275054739137005,-0.05615453084161596,0.8345762763925614,-0.16130087431880544,0.11103570086618407,-0.5408874904455694,-0.11901723933405589
max5_21,-0.2836717989375031,-0.8569428669217057,0.336046606458882,126,-0.3703578382745948,-0.078414912375392,-0.5879187575973117,-0.6056774673186721,-0.41487023836349285,-0.5856567845695708,-0.2585870553278468,0.20090362460171712
vol_dry,-0.39800124027684036,-1.1405157718328676,0.3533552666155413,126,-0.2998440727481983,-0.13916771636329905,-0.1798809866274357,-0.7946110283412302,-0.683444415253989,-0.7310286618419658,-0.6156990118555541,0.5657678477248778
upvol20,-0.45586152504268584,-1.3422173777710484,0.16993202707413813,126,-0.29371416449729515,-0.007785850119089484,-0.18809401890157165,-2.3776502954123946,-0.6331391680126639,-0.577054004826485,-0.6611200349509782,0.1154277069184748
gap_abs20,-0.5048601801505815,-1.2165106559625807,0.17275074264834214,126,-0.27004944328226554,-1.0929324598173469,0.5970206322252836,-0.2897715967080419,-0.004828983395033844,-0.09936094606905065,-0.9651964327094117,-0.4088953978153083
rsi14,-0.802011813038885,-1.9723584153652889,-0.08225300641287783,126,-0.7429390619018718,-0.6973370706286768,-1.3996145990221653,-2.9288031509712718,-0.31304126420207506,-1.1150239779123514,-1.0336115136338468,0.15105895153086377
lv60,-0.804021024563416,-1.4680509656554381,-0.06968267071857019,126,-0.573741643705362,-1.3398861099477049,0.8434729347168952,0.18090499851155908,-0.6629281281349425,-0.12542236251914007,-1.2819009323762278,-1.155278844468478
dlow252,-1.64327091795827,-2.666567173512558,-0.8673741899742441,126,-0.9277314420662696,-2.0843420373422,-0.9191664287060077,-2.2710384376113413,-1.0595150597854606,-1.9119940246138376,-1.6416362078774578,-1.1758662239524473
