run_id,in_common,n_v_kospi,n_l_kospi,ic_v_kospi,exc_v_kospi,n_v_kosdaq,n_l_kosdaq,ic_v_kosdaq,exc_v_kosdaq,ic_l_kospi,exc_l_kospi,ic_vr_kospi,exc_vr_kospi,cover_kospi,ic_l_kosdaq,exc_l_kosdaq,ic_vr_kosdaq,exc_vr_kosdaq,cover_kosdaq,ic_v,ic_l,ic_vr,exc_v,exc_l,exc_vr
20260606,False,576,0,0.12467969905109207,-0.0024903164797781983,1157,0,0.21735984725495602,0.011039467593566672,,,,,,,,,,,0.17101977315302405,,,0.0042745755568942365,,
20260609,False,555,195,0.14166468993954892,0.015840404334063397,1123,230,0.2561025149905956,0.09175210718094157,0.4278034128683132,0.0815755315505945,0.19615112336220733,0.04151932086152859,1.0,0.4938234250973035,0.10397030166348388,0.32137712319633577,0.05363094377626215,1.0,0.19888360246507225,0.46081341898280836,0.25876412327927156,0.05379625575750248,0.09277291660703918,0.047575132318895375
20260610,False,534,194,0.09562688872963665,-0.022960507847535477,1132,233,0.25583988476966235,0.0836962090647271,0.3952162678275733,0.04985877236480324,0.022810244884652633,0.020548220623963886,1.0,0.5096367939336859,0.0724174778420453,0.3045317977950117,0.03754595236354677,1.0,0.1757333867496495,0.45242653088062956,0.16367102133983216,0.030367850608595814,0.06113812510342427,0.029047086493755328
20260611,False,453,187,0.1114236049729845,-0.0037597783114784733,1025,303,0.2605510987348773,0.049280912050770176,0.396982676926576,0.08177852882902353,0.14518099299465906,0.03417674939977764,1.0,0.47926595273627765,0.10756775366800728,0.2860025165596063,0.042617527920533915,1.0,0.1859873518539309,0.43812431483142683,0.21559175477713266,0.02276056686964585,0.0946731412485154,0.038397138660155775
20260612,False,376,195,0.14182625746587854,0.04090325868781926,949,327,0.24110186071353235,0.08196736199663715,0.44599593953954964,0.052838487605909146,0.12266187704027275,0.021850614605449653,1.0,0.5113214643129776,0.0969229299667104,0.2883324100948115,0.08100244396605338,1.0,0.19146405908970543,0.47865870192626364,0.20549714356754212,0.061435310342228204,0.07488070878630977,0.05142652928575152
20260615,False,347,179,0.1617593291297296,0.023832961152397886,967,326,0.28489559293895056,0.060421540640062624,0.49106041006287926,0.07217269355290098,0.1779745452201841,0.02457229278101772,1.0,0.48383121548011365,0.15639997617177426,0.29949247252751876,0.07776817951790829,1.0,0.2233274610343401,0.48744581277149646,0.23873350887385142,0.042127250896230255,0.11428633486233762,0.051170236149463005
20260616,False,301,154,0.15066168309710307,0.021383266150681382,948,340,0.28044024541499457,0.10192614474745396,0.5346263984855009,0.06980660723141209,0.14555008366009883,0.04011449319926508,1.0,0.4487120453894392,0.123937525713912,0.29702544243214973,0.08876621022896448,1.0,0.2155509642560488,0.49166922193747004,0.2212877630461243,0.06165470544906767,0.09687206647266206,0.06444035171411477
20260617,False,244,130,0.14767952648080643,0.061697826623734534,824,336,0.2891601949849631,0.0791230852468531,0.44614266547406095,0.07187081060150494,0.13076095686404113,0.06091854474161413,1.0,0.38222352320559516,0.11880407632792653,0.32103246910877864,0.08773399400104387,1.0,0.21841986073288477,0.41418309433982803,0.2258967129864099,0.07041045593529383,0.09533744346471573,0.074326269371329
20260618,False,319,157,0.20073533511593944,0.03159514272159195,883,294,0.2831051718437304,0.08752168433254269,0.44965940162159596,0.0573461731803717,0.19739318069148243,0.04837053587276989,1.0,0.41576671503678797,0.10891924232806297,0.23870069385492773,0.06858859994368925,1.0,0.24192025347983492,0.43271305832919194,0.21804693727320507,0.059558413527067325,0.08313270775421733,0.05847956790822957
20260619,False,404,190,0.14424325592640128,0.03589064944804886,946,258,0.24091985738153288,0.0476243891407762,0.4913349381143672,0.08808863607196843,0.2399563410009751,0.0710714283664718,1.0,0.338879064676333,0.1314478192527652,0.18784315695588652,0.06416956168556494,1.0,0.1925815566539671,0.41510700139535006,0.2138997489784308,0.04175751929441253,0.10976822766236681,0.06762049502601837
