k,state,share,n_anchor,next20_exc_pp,lo,hi,total40_exc_pp
10,전체,1.0,122,3.7509132954918027,2.5950685985539512,4.852205855152753,6.364092850233479
10,시장대비 ≤−10%p,0.010232613480873341,20,3.1547678203754717,0.35599913892698065,4.440020566034305,-7.02357569246915
10,시장대비 ≥+10%p,0.08905943244690344,112,3.103945408963856,1.2514681837297137,5.02545461983627,19.61037943130428
10,손익 ≤−7%,0.09661490867987388,86,3.5319419221361135,1.9781681431639904,4.880398444012933,-2.945183746351398
10,손익 ≥+15%,0.02754476768397882,50,5.003453145508499,1.2284528025247365,8.475961555275942,27.744178067268173
10,RSI 5일 −10pt↓,0.15426259741804985,112,3.333592731186223,2.3388939539668767,4.287924143143091,4.087732273399219
10,20일선 아래,0.5124635611874591,122,3.462938769161139,2.3665029579575148,4.511763794069259,2.2109319968021715
15,전체,1.0,122,3.693435618216438,2.5508466494741344,4.767300793124775,6.364092850233479
15,시장대비 ≤−10%p,0.01772859777500149,33,2.5848299767903686,-0.5305101133233014,4.777511232882369,-10.592337494236476
15,시장대비 ≥+10%p,0.14414896781486108,119,3.4485318804869096,1.8955101440463022,4.973464513277349,19.72102794989571
15,손익 ≤−7%,0.12737224106133618,97,3.395986196845571,1.8828257374614348,4.863359457737788,-3.841020239481304
15,손익 ≥+15%,0.0448569218870843,68,4.082538362174197,1.9199073658561046,6.531261666784554,27.836485762058928
15,RSI 5일 −10pt↓,0.15241834731393897,111,3.1905221955350394,2.1074134265253956,4.218302275014441,5.254862440108704
15,20일선 아래,0.5046106252602772,122,3.3685217067433735,2.282634624015248,4.48579421070684,1.249008080427144
20,전체,1.0,122,3.43221827884867,2.2796716746734393,4.743815160812852,6.364092850233479
20,시장대비 ≤−10%p,0.026713469776297002,52,2.1874432430965642,-0.4415837399336494,4.39073351854063,-12.50493509175763
20,시장대비 ≥+10%p,0.19508567348881484,122,3.4510223808982894,1.9599230012058082,4.946752550556571,20.41856080210233
20,손익 ≤−7%,0.15409328891004284,108,3.0372994402964664,1.8708135350923245,4.389741736548281,-4.916142885919296
20,손익 ≥+15%,0.06770585435506901,93,3.691269161569102,1.9953106751080876,5.989696058859486,28.413374633638927
20,RSI 5일 −10pt↓,0.15230842455973345,112,2.6771756984364985,1.5516756349711307,3.8417969772456857,4.67626925329557
20,20일선 아래,0.5031532603522132,122,3.1255085707003234,2.086182833697979,4.450281668405631,0.8347244860206351
