factor,h,ic,lo,hi,n,pos,ic_강세,ic_조정,ic_반등,ic_약세,ic_2024,ic_2025,ic_2026,ic_KOSPI,ic_KOSDAQ,robust,ic_avoid_loss
hl_range20,5,-0.12274126491107026,-0.14447112563544687,-0.10140839468311985,644,0.13975155279503104,-0.11995410441494661,-0.14065280827478113,-0.132300152873926,-0.11949973660461825,-0.11777309033211597,-0.11837605276980794,-0.1370995936164522,-0.10087825553347607,-0.10773261889175836,True,
hl_range20,20,-0.17631638660595542,-0.21677870609238384,-0.14399988814403,629,0.0890302066772655,-0.18045498229245027,-0.1408120239085786,-0.18186992385913583,-0.1784765252200408,-0.17238660464866054,-0.16314146696506876,-0.20531776668060242,-0.14434781851614792,-0.15261561071215138,True,-0.2845901792562679
hl_range20,40,-0.2077469533172088,-0.24794031822276716,-0.1550506822669863,609,0.05747126436781609,-0.20313776690370663,-0.17540554219885143,-0.2431620627162778,-0.21486292512626093,-0.18795159030287853,-0.1927258857526259,-0.2765694486515637,-0.16057407167165583,-0.17432828091847635,True,
hl_range20,60,-0.22091898775238725,-0.24721186820891064,-0.16740773371706144,589,0.01867572156196944,-0.19909129207989232,-0.2635431680199106,-0.2564147909303089,-0.2336427801311608,-0.2144628307417861,-0.19676884148417084,-0.2929543053008826,-0.15673846866922578,-0.18238673378088902,True,
clv20,5,0.0388854625741317,0.025871408612093975,0.05273589928476161,644,0.6894409937888198,0.0577949982052864,0.020441985208721203,0.06061538503655147,0.013400212800386495,0.025477510964683186,0.05039933418643893,0.04195624271670823,0.027214517148009886,0.03045493775970297,True,
clv20,20,0.05593709681512522,0.03961822988945613,0.0793497656517557,629,0.7726550079491256,0.08036872449793904,0.049655044131735444,0.07572875096087413,0.021487983347924233,0.032430973239479695,0.07615267460384406,0.061834469735317844,0.04082291772333723,0.04154881007337452,True,0.027218895883149033
clv20,40,0.06923194378085204,0.05104991571271964,0.09679870729974305,609,0.7881773399014779,0.09197659078362928,0.052482170293315415,0.10389164492527447,0.033266374071933474,0.045262655678923805,0.08701278393974766,0.08179733384928904,0.053506507250223274,0.049416550669644135,True,
clv20,60,0.09086665432263451,0.06955657661409162,0.12246312232214737,589,0.8760611205432938,0.10374918655834406,0.10161137676842191,0.10148167326596497,0.06460422112981698,0.062258160336949836,0.10616045130899165,0.122705233563495,0.07441966199277338,0.06574210956789524,True,
gap_abs20,5,-0.0800219593953973,-0.09957323329040449,-0.06025230275107926,644,0.2515527950310559,-0.06781884477290642,-0.09638232081087657,-0.09007953342122206,-0.08913317308398375,-0.10222671957986715,-0.06454650059824202,-0.06943398182515009,-0.05881224080582274,-0.07472515340565547,True,
gap_abs20,20,-0.10676225771242627,-0.1473578164288933,-0.07147170810739009,629,0.22575516693163752,-0.08681891964552711,-0.08123711654577037,-0.12991116509636177,-0.13413695840002662,-0.14666082548614812,-0.07474691645656793,-0.0928633909091367,-0.07395398091908394,-0.0999017570657018,True,-0.19468988836764764
