cagr,vol,sharpe,mdd,basket,signal,switch_per_yr,off_days_pct,n_off_ep,short_ep_le2,forgone_up_pct,avoided_loss_pct,ep1_2404,ep2_2406,ep3_2602,ep4_2604
0.1474097922244979,0.1862910674953151,0.7912874954576392,-0.24912316419448655,전종목EW,SMA20(기본),25.2,0.445,33,15,116.8,117.1,-2.9,-12.1,-11.0,-24.4
0.13289491195222936,0.20296868836289153,0.6547557311629469,-0.263716655991027,전종목EW,SMA20 확인2일,17.1,0.394,22,6,104.3,102.2,-3.4,-13.5,-16.5,-24.4
0.1770535369544599,0.21382088733642848,0.8280460303014346,-0.24570652426104356,전종목EW,SMA20 확인3일,14.0,0.36,18,4,89.7,98.1,-3.1,-15.1,-16.5,-24.1
0.1515182772869339,0.21849334000081466,0.6934686306061729,-0.26662842840704515,전종목EW,SMA20 확인5일,10.9,0.308,14,3,83.5,86.5,-4.1,-16.6,-16.5,-26.2
0.0923105888144955,0.19859606933958285,0.46481578976596977,-0.29193965756393603,전종목EW,SMA20 밴드±1%,15.5,0.442,20,4,117.4,105.8,-3.4,-13.7,-16.5,-25.5
0.0933447756105974,0.20099622728553715,0.4644105855678123,-0.31566438212161063,전종목EW,SMA20 밴드±2%,9.3,0.448,12,2,114.4,103.2,-3.5,-13.3,-16.5,-25.5
0.10755088447700323,0.2016302931533846,0.5334063785504042,-0.280992647108942,전종목EW,SMA20 -1%아래만 off/위로 즉시 on,17.8,0.397,23,8,109.2,101.3,-3.4,-14.6,-16.5,-25.5
0.09188789988659285,0.20004077323897482,0.4593458543415085,-0.2779674209334746,전종목EW,SMA60,18.2,0.457,24,12,117.1,105.4,-4.1,-11.6,-16.5,-26.9
0.13454331937339736,0.20851231436213136,0.6452535898658283,-0.2779674209334756,전종목EW,SMA20 and SMA60 둘다 아래일 때만 off,19.8,0.343,26,13,94.5,93.1,-4.1,-12.1,-16.5,-26.9
0.08832869696998658,0.21492022493389845,0.4109836428709919,-0.2871601874176468,전종목EW,20일수익<-5% 폭락감지,17.1,0.218,22,13,82.7,71.0,-5.6,-19.9,-16.5,-28.2
0.06304756308806603,0.20939921891476282,0.3010878618116045,-0.2719814063137125,전종목EW,변동성>30% 급등,4.3,0.297,6,0,100.0,81.9,-5.6,-25.5,-8.4,-26.5
0.12737200762132606,0.20116767536308017,0.6331633916405157,-0.2517539024067168,전종목EW,SMA20 확인2일 or 20일수익<-5%,18.6,0.403,24,8,107.4,104.1,-3.4,-14.0,-16.5,-24.4
