factor,h,cut,n,ic,lo,hi,pos
lv60,5,all_monthly,31,0.09475810973844373,0.037860866841602836,0.1455798947097183,0.8064516129032258
lv60,5,all_daily_block5,644,0.11489659605208835,0.09332570735934567,0.13816606786864336,0.8260869565217391
lv60,5,year_2024,12,0.09946143564094585,0.029440914688577357,0.16712238262357523,0.8333333333333334
lv60,5,year_2025,12,0.13817206469960872,0.06870175991417478,0.19895514554068558,0.8333333333333334
lv60,5,year_2026,7,0.012271342543585782,-0.14103608425921949,0.14711132045708453,0.7142857142857143
lv60,5,regime_강세,297,0.11499991947488704,0.09620580587728363,0.140211487178619,0.8821548821548821
lv60,5,regime_조정,56,0.1346701252346241,0.051685148082472515,0.20055389778389945,0.7678571428571429
lv60,5,regime_반등,60,0.12139212157492692,0.07501318712812496,0.17267053618963935,0.8333333333333334
lv60,5,regime_약세,231,0.10828301933276567,0.06314087180320622,0.15614967072333333,0.7662337662337663
lv60,5,mkt_KOSPI,31,0.0671914792085467,-0.0042126153291833805,0.1273584568577989,0.6451612903225806
lv60,5,mkt_KOSDAQ,31,0.08604395584656174,0.04189371062759554,0.1274717734261968,0.7741935483870968
lv60,20,all_monthly,30,0.16491556057098658,0.11204341777026498,0.2237480957019171,0.8333333333333334
lv60,20,all_daily_block5,629,0.16095488006390932,0.13608751937209096,0.1857811867096968,0.8616852146263911
lv60,20,year_2024,12,0.15690109904341684,0.06958089139586095,0.2370430824604034,0.75
lv60,20,year_2025,12,0.1462029526499273,0.06580889189330379,0.22736229559569002,0.9166666666666666
lv60,20,year_2026,6,0.21836969946824444,0.04549303047884802,0.36995909242772407,0.8333333333333334
lv60,20,regime_강세,297,0.16752212055057067,0.14050780018735431,0.1923560495652261,0.9023569023569024
lv60,20,regime_조정,56,0.12257112768464216,0.05836892723407739,0.1603574182741964,0.8214285714285714
lv60,20,regime_반등,48,0.168499537948714,0.12303495384613579,0.22975502389958535,0.9166666666666666
lv60,20,regime_약세,228,0.1602394244947423,0.11814062106011833,0.21561453433536554,0.8070175438596491
lv60,20,mkt_KOSPI,30,0.12724360845836047,0.06384674313959626,0.1962150996883408,0.8
lv60,20,mkt_KOSDAQ,30,0.14928806094150993,0.11031476795624397,0.19308785876676524,0.9
lv60,60,all_monthly,29,0.21183335939123857,0.1749948716799705,0.25608578457340453,0.9655172413793104
lv60,60,all_daily_block5,589,0.20917945722038678,0.18954533995034925,0.22688025308605986,0.9830220713073005
lv60,60,year_2024,12,0.20379806906457407,0.15763827512656983,0.2446766738158931,1.0
lv60,60,year_2025,12,0.17814299720551163,0.12479388330287818,0.22757402168809754,0.9166666666666666
lv60,60,year_2026,5,0.31197492542097777,0.18375957425293868,0.43422917300315744,1.0
lv60,60,regime_강세,297,0.18863419409917703,0.16255628760411947,0.2118601761590493,0.98989898989899
lv60,60,regime_조정,56,0.2388926661351481,0.1856613591823252,0.2781836121433886,0.9642857142857143
lv60,60,regime_반등,48,0.23841582854190188,0.20494284147120137,0.2714326658377452,1.0
lv60,60,regime_약세,188,0.22532125309453546,0.18921010545338715,0.2568853022559285,0.973404255319149
lv60,60,mkt_KOSPI,29,0.13653294250675518,0.08174271870229328,0.19433687235488695,0.7931034482758621
lv60,60,mkt_KOSDAQ,29,0.18882559577770974,0.1619863409392177,0.21945293843973293,0.9655172413793104
lv20,5,all_monthly,31,0.09427413461685888,0.04127089131616342,0.14073077820369215,0.8064516129032258
lv20,5,all_daily_block5,644,0.11105672304620415,0.09160243353335427,0.13154346725186636,0.8338509316770186
lv20,5,year_2024,12,0.10138971193644175,0.04637069515413858,0.15887522508194382,0.8333333333333334
lv20,5,year_2025,12,0.1351110258858386,0.07314414680713346,0.19428677421766613,0.8333333333333334
lv20,5,year_2026,7,0.012069902750751602,-0.13278214098824814,0.14268858843700907,0.7142857142857143
lv20,5,regime_강세,297,0.10760038146057643,0.0903401785291181,0.13074990923706714,0.8787878787878788
lv20,5,regime_조정,56,0.12253176138705024,0.04876979277546781,0.18511736777312382,0.8392857142857143
lv20,5,regime_반등,60,0.12096868527322416,0.0831945602822237,0.1669342591743395,0.8333333333333334
lv20,5,regime_약세,231,0.11014422767920347,0.06663847720732127,0.1548109174720195,0.7748917748917749
lv20,5,mkt_KOSPI,31,0.07754773030151446,0.012462991665254134,0.12815952401492992,0.7096774193548387
lv20,5,mkt_KOSDAQ,31,0.08316021626468847,0.04365545907314275,0.12085157997761607,0.8709677419354839
lv20,20,all_monthly,30,0.1640736611852298,0.1183613248291492,0.21593202184536678,0.9
lv20,20,all_daily_block5,629,0.15506749586581428,0.13390645259447273,0.1763517428645607,0.8950715421303657
lv20,20,year_2024,12,0.1599983987833314,0.09266161430364955,0.22510105359420832,0.9166666666666666
lv20,20,year_2025,12,0.14196028604839656,0.07351083753722559,0.21266663749145787,0.9166666666666666
lv20,20,year_2026,6,0.2164509362626931,0.06685769708418231,0.348990225778888,0.8333333333333334
lv20,20,regime_강세,297,0.15333074596561547,0.12974979329528544,0.1752152906451987,0.9191919191919192
lv20,20,regime_조정,56,0.1114786044413124,0.04439976894336484,0.15332558495538792,0.875
lv20,20,regime_반등,48,0.16743797089612875,0.1277250230435199,0.22511323761418905,0.9791666666666666
lv20,20,regime_약세,228,0.16543157410562154,0.1278851710711729,0.21534242145747493,0.8508771929824561
lv20,20,mkt_KOSPI,30,0.14080114834624394,0.0860426401917523,0.1973132306262634,0.7666666666666667
lv20,20,mkt_KOSDAQ,30,0.14539381894400175,0.11377354914600507,0.18402904692966032,0.9333333333333333
lv20,60,all_monthly,29,0.19368794175176574,0.15701555544339624,0.23686802724162556,0.9655172413793104
lv20,60,all_daily_block5,589,0.1883456342471518,0.16792936585718682,0.20565443505946693,0.9473684210526315
lv20,60,year_2024,12,0.1914047549109156,0.14530609381467546,0.23248576500308893,1.0
lv20,60,year_2025,12,0.16389503464919133,0.10857718417528932,0.21865725662202545,0.9166666666666666
lv20,60,year_2026,5,0.2706705672159846,0.1343648050589144,0.39324330382739187,1.0
lv20,60,regime_강세,297,0.16563294004235088,0.13961022726445263,0.18855969688334082,0.9629629629629629
lv20,60,regime_조정,56,0.21110696353717584,0.15469759832248783,0.25053635450488004,0.9642857142857143
lv20,60,regime_반등,48,0.22706877139309412,0.20243779430702075,0.2551900423635332,1.0
lv20,60,regime_약세,188,0.2075601297555524,0.1680990152485434,0.24221995504384422,0.9042553191489362
lv20,60,mkt_KOSPI,29,0.12838255336590737,0.07527429667000844,0.18564998159103635,0.8275862068965517
lv20,60,mkt_KOSDAQ,29,0.1678936394573468,0.1419394660357678,0.19774967480502414,0.9655172413793104
rv21,5,all_monthly,31,0.09482986915153514,0.04078864130628491,0.1412733069950984,0.8064516129032258
rv21,5,all_daily_block5,644,0.11159552659597473,0.0922565196408659,0.1318162405352647,0.8307453416149069
rv21,5,year_2024,12,0.10224120536945668,0.046323308994699476,0.16036153901277359,0.8333333333333334
rv21,5,year_2025,12,0.13555315978561513,0.07420976202116755,0.1952726141650434,0.8333333333333334
rv21,5,year_2026,7,0.012313365976675443,-0.1313487612203639,0.14469214451500426,0.7142857142857143
rv21,5,regime_강세,297,0.10820286989275435,0.09052787468933683,0.13140637322154944,0.8787878787878788
rv21,5,regime_조정,56,0.12383170287351253,0.0493745946445049,0.1869740588724074,0.8214285714285714
rv21,5,regime_반등,60,0.12152394954813926,0.08307103786386616,0.16884198902135836,0.8166666666666667
rv21,5,regime_약세,231,0.11041235686517155,0.06696481238615369,0.1552260437985498,0.7748917748917749
rv21,5,mkt_KOSPI,31,0.07793100869485603,0.012826752402067421,0.1295764222948632,0.7096774193548387
rv21,5,mkt_KOSDAQ,31,0.0826611603782306,0.04254147500032168,0.1194121515221246,0.8709677419354839
rv21,20,all_monthly,30,0.1639195403824474,0.1165800259780885,0.21558645827066794,0.9
rv21,20,all_daily_block5,629,0.15601412626951952,0.13434153767340837,0.17736569415551873,0.8982511923688394
rv21,20,year_2024,12,0.16135256907997572,0.09351066948332298,0.22590276739118328,0.9166666666666666
rv21,20,year_2025,12,0.14310268798249345,0.07577811533569646,0.2124225597095184,0.9166666666666666
