days,cagr,vol,sharpe,mdd,total,series,overlay,avg_w
648,-0.030904199965547496,0.3475061642631717,-0.08893137199760082,-0.47415550734802414,-0.07754970914556591,KOSDAQ,없음,1.0
648,-0.025183525682241692,0.14236343773474444,-0.1768960210778581,-0.2520193625776592,-0.06348243770333106,KOSDAQ,변동성타겟12%,0.5354376295628358
648,-0.02163331588273054,0.17305496068155396,-0.1250083545570182,-0.2918863196970284,-0.05468688017343404,KOSDAQ,변동성타겟15%,0.6527679217764242
648,-0.02539320565144465,0.21402726108314485,-0.11864472555007818,-0.33521172760209184,-0.06400034386043651,KOSDAQ,변동성타겟20%,0.7806949070948906
648,0.07322554656621505,0.17273165025882714,0.42392663102848455,-0.1816012193678096,0.1992775918476828,KOSDAQ,KOSDAQ>SMA20 아니면 0,0.5538461538461539
648,-0.016914941376914183,0.20069690547274596,-0.08428102733856642,-0.2681933794496004,-0.04291935984097006,KOSDAQ,KOSDAQ>SMA60 아니면 0,0.5415384615384615
648,0.03158207453701567,0.22929651405229803,0.13773464750455133,-0.30537822787702895,0.08323834144745357,KOSDAQ,KOSDAQ<SMA20이면 50%,0.7769230769230769
648,-0.059276704668227875,0.2860670333499477,-0.20721263815014396,-0.46008294286932905,-0.1454073209983453,KOSDAQ,breadth<25%면 50%,0.9438461538461539
648,-0.09838591721354029,0.26237599269674416,-0.3749806382905442,-0.47168986769274346,-0.23380571494500668,KOSDAQ,breadth<25%면 0,0.8876923076923077
648,-0.023364354231690365,0.15366461776957768,-0.152047716454321,-0.2700672645828682,-0.0589817620363875,KOSDAQ,변동성타겟15%+breadth<25%면 50%,0.6285418104054628
648,0.43186520382451943,0.3664231943639329,1.1785967986393058,-0.3863043156272117,1.5170463044287028,KOSPI,없음,1.0
648,0.20203332674325059,0.14166003770404884,1.4261843355239783,-0.18985616043231157,0.6050907576138607,KOSPI,변동성타겟12%,0.5626571267385639
648,0.25613743233524167,0.1723884961493875,1.4858151098045398,-0.21852136658827837,0.7974920433766766,KOSPI,변동성타겟15%,0.6827198670664989
648,0.3286898027188554,0.20561602356994557,1.5985612259787871,-0.23876945772978175,1.0767058027917802,KOSPI,변동성타겟20%,0.7952687994138552
648,0.38678071904775435,0.19553411459859343,1.9780728280677045,-0.2487287008552349,1.318264052863976,KOSPI,KOSDAQ>SMA20 아니면 0,0.5538461538461539
648,0.35506984051324353,0.21338334478478377,1.663999788134183,-0.3019220870640671,1.1843892607812374,KOSPI,KOSDAQ>SMA60 아니면 0,0.5415384615384615
648,0.4261817780953425,0.24937241749221117,1.709017309858071,-0.22103491559258448,1.4914357958015905,KOSPI,KOSDAQ<SMA20이면 50%,0.7769230769230769
648,0.3426386931722365,0.30601312761192956,1.1196862560966785,-0.37180821272846276,1.1332307585934696,KOSPI,breadth<25%면 50%,0.9438461538461539
648,0.2425271180745212,0.28322869341010015,0.8562943081595012,-0.39586776954518876,0.7478365782030827,KOSPI,breadth<25%면 0,0.8876923076923077
648,0.24848892863896999,0.15556942132157667,1.5972864495350916,-0.1715920386298101,0.7694828581289395,KOSPI,변동성타겟15%+breadth<25%면 50%,0.6574598561333292
648,0.11835138002493428,0.2876655864263132,0.4114200154951469,-0.41867607198311174,0.33326221722103644,전종목EW(가드),없음,1.0
648,0.026640450482343203,0.14011501358075734,0.1901327331134903,-0.18989544610188291,0.06994518226651647,전종목EW(가드),변동성타겟12%,0.6221690718959481
648,0.04093506607668074,0.16828028155356098,0.2432552744669122,-0.2213547856760275,0.10867343856297818,전종목EW(가드),변동성타겟15%,0.7327857514729017
648,0.04347471325595076,0.2023351764367376,0.21486482984111083,-0.25984872813077065,0.11564227019966444,전종목EW(가드),변동성타겟20%,0.8312853411070228
648,0.15831376588991009,0.13670209626696722,1.1580931837412147,-0.13387675957204226,0.4592327222426038,전종목EW(가드),KOSDAQ>SMA20 아니면 0,0.5538461538461539
648,0.05096361129890847,0.16058127671355527,0.3173695734765973,-0.20561829823930222,0.1363475374484584,전종목EW(가드),KOSDAQ>SMA60 아니면 0,0.5415384615384615
648,0.1474097922244979,0.1862910674953151,0.7912874954576392,-0.24912316419448655,0.4241705164421832,전종목EW(가드),KOSDAQ<SMA20이면 50%,0.7769230769230769
648,0.08463764435045307,0.2345685571793084,0.36082263270159665,-0.3688779718999404,0.23234417662763218,전종목EW(가드),breadth<25%면 50%,0.9438461538461539
648,0.042274190578627024,0.21399671667832373,0.19754597750288327,-0.36174500240842156,0.11234469137995373,전종목EW(가드),breadth<25%면 0,0.8876923076923077
648,0.041367835630336414,0.1463015996176197,0.28275723394998553,-0.1943346838646216,0.10985907905765302,전종목EW(가드),변동성타겟15%+breadth<25%면 50%,0.7041202922475056
648,0.08263255429765581,0.14652976205343948,0.5639301745915596,-0.22282849986616082,0.2264945971522232,조용함top20,없음,1.0
648,0.06962681896119416,0.11782852691132065,0.5909164850511647,-0.15523042223616335,0.18896406585428172,조용함top20,변동성타겟12%,0.8709283550777521
648,0.07516581962323365,0.1272280548534043,0.5907959507031826,-0.17992347299961364,0.2048607858435214,조용함top20,변동성타겟15%,0.9153276259187159
648,0.07950370521548944,0.13747257605658686,0.5783241101320739,-0.2060392308280703,0.21740055653515844,조용함top20,변동성타겟20%,0.9641736215167289
648,0.055128285520064546,0.08231567631199121,0.6697179442603184,-0.11524385333654275,0.1479628290256807,조용함top20,KOSDAQ>SMA20 아니면 0,0.5538461538461539
648,0.013888990722896288,0.09493413212485721,0.1463013398029437,-0.1828138900352566,0.036105322067922385,조용함top20,KOSDAQ>SMA60 아니면 0,0.5415384615384615
648,0.07077862239689581,0.10220513039020443,0.6925153573668293,-0.1681184639209803,0.19225907517567964,조용함top20,KOSDAQ<SMA20이면 50%,0.7769230769230769
648,0.07635310468731626,0.12546408983900462,0.6085654053306606,-0.2032180143442508,0.2082850528478255,조용함top20,breadth<25%면 50%,0.9438461538461539
648,0.06806396048272823,0.11762091086318333,0.5786722784514077,-0.20158058046028726,0.18450204254563007,조용함top20,breadth<25%면 0,0.8876923076923077
648,0.077168690587337,0.11300319327004921,0.6828894684677028,-0.16541132202743802,0.21064073846967601,조용함top20,변동성타겟15%+breadth<25%면 50%,0.8731576680655689
648,-0.030772919346446104,0.30818440966080796,-0.09985229097187365,-0.4722455957379468,-0.0772283448925496,과매도프록시top20,없음,1.0
648,-0.05497953125488009,0.14139892955191988,-0.3888256539784646,-0.2328841726733134,-0.13533309008243466,과매도프록시top20,변동성타겟12%,0.5293169573026305
648,-0.06525332212081603,0.17264565258079378,-0.377960992039919,-0.2807912982395876,-0.1592990558751013,과매도프록시top20,변동성타겟15%,0.6440002519081606
648,-0.09251237631182796,0.2157299953068854,-0.4288340904111412,-0.35611388355361717,-0.2209050320680186,과매도프록시top20,변동성타겟20%,0.7844164832739592
648,0.0432451287505653,0.16059763946372793,0.269276241512457,-0.24656280648551054,0.1150111893666681,과매도프록시top20,KOSDAQ>SMA20 아니면 0,0.5538461538461539
648,-0.1033463548115795,0.16479551719950306,-0.6271187260905126,-0.3004582931558809,-0.24459849239865716,과매도프록시top20,KOSDAQ>SMA60 아니면 0,0.5415384615384615
648,0.014364851602449269,0.20758701687169548,0.06919918123457516,-0.3392446265638773,0.03735623794375931,과매도프록시top20,KOSDAQ<SMA20이면 50%,0.7769230769230769
648,-0.048899281926429006,0.2546851248548859,-0.19199897109927702,-0.4590684720335666,-0.1209551688454239,과매도프록시top20,breadth<25%면 50%,0.9438461538461539
648,-0.07606667360030528,0.23413138778557827,-0.32488883408476826,-0.45194198097677096,-0.18408044748319485,과매도프록시top20,breadth<25%면 0,0.8876923076923077
648,-0.05953467476294316,0.1514753106804131,-0.3930322010598223,-0.2626180026780093,-0.14600980777310524,과매도프록시top20,변동성타겟15%+breadth<25%면 50%,0.6177478290783949
