rcept_no,rcept_dt,ticker,corp_name,market,event_type,report_nm,corr,ext,trust,cancel,sub,dt,t,j,ok_t,ex5,raw5,exm5,ex20,raw20,exm20,ex60,raw60,exm60,pre20,react,year,regime,size_q,quiet_q,rsi
20231027000391,20231027,000020,동화약품,Y,buyback_sell,주요사항보고서(자기주식처분결정),False,False,False,False,buyback_sell,2023-10-27,83,0,False,-0.04012431418848528,0.012396694214876103,-0.048339975868190374,-0.059799561013493485,-0.005165289256198302,-0.07311791393216349,-0.031208040439143714,0.011363636363636465,-0.07570304688862252,0.07576239893041326,0.02832912660453135,2023,약세,,,43.05322814458012
20241211000368,20241211,000040,KR모터스,Y,cb,주요사항보고서(자기전환사채만기전취득결정),False,False,False,False,cb,2024-12-11,358,1,False,0.01714698448048979,0.02208835341365467,0.007358318070505486,-0.09366853378425988,-0.07429718875502012,-0.12221984579963405,-0.22673603768131922,-0.2088353413654619,-0.2901779322742034,0.004158004158004047,0.09364619103246952,2024,약세,,,56.37865625078908
20250729000268,20250729,000040,KR모터스,Y,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2025-07-29,509,1,True,-0.15585689189784047,-0.1623277182235835,-0.15744343498128174,-0.12094665747674993,-0.1562021439509954,-0.13716738951246826,-0.20706309155610364,-0.2434915773353752,-0.286569664540112,0.23154415378038756,0.30954422094152256,2025,강세,소,하위50,63.52836792535713
20260312000003,20260312,000040,KR모터스,Y,cb,주요사항보고서(전환사채권발행결정),False,False,False,False,cb,2026-03-12,658,1,False,0.055476980170883206,0.06631299734748008,0.04181422239740829,0.15127874154243326,0.14058355437665782,0.12005543156229556,0.07265078908296213,-0.09814323607427056,0.0008677847179851123,-0.1538722329403563,0.018030581765671627,2026,강세,,,36.74516156932783
20260821000665,20260821,000040,KR모터스,Y,cb,주요사항보고서(자기전환사채만기전취득결정),False,False,False,False,cb,2026-08-21,768,1,False,0.07671686224817287,0.10386656557998486,0.06765385271248127,,,,,,,-0.016967199715762216,0.0005004029217268724,2026,반등,,,79.69982152024025
20231213000276,20231213,000040,KR모터스,Y,paid_in,[첨부추가]주요사항보고서(유상증자결정),False,False,False,False,paid_in,2023-12-13,116,1,False,-0.010550886639585921,-0.003809523809523818,-0.020327625231995657,-0.03358393169721002,-0.04190476190476189,-0.0609757499870157,0.29279075811713157,0.27714285714285714,0.24561410859835886,-0.08921069370814061,-0.2698361980197759,2023,강세,,,36.871898492498794
20250729000229,20250729,000040,KR모터스,Y,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2025-07-29,509,1,True,-0.15585689189784047,-0.1623277182235835,-0.15744343498128174,-0.12094665747674993,-0.1562021439509954,-0.13716738951246826,-0.20706309155610364,-0.2434915773353752,-0.286569664540112,0.23154415378038756,0.30954422094152256,2025,강세,소,하위50,63.52836792535713
20231213000223,20231213,000040,KR모터스,Y,reduction,주요사항보고서(감자결정),False,False,False,False,reduction,2023-12-13,116,1,False,-0.010550886639585921,-0.003809523809523818,-0.020327625231995657,-0.03358393169721002,-0.04190476190476189,-0.0609757499870157,0.29279075811713157,0.27714285714285714,0.24561410859835886,-0.08921069370814061,-0.2698361980197759,2023,강세,,,36.871898492498794
20251028000375,20251028,000050,경방,Y,buyback_sell,주요사항보고서(자기주식처분결정),False,False,False,False,buyback_sell,2025-10-28,568,2,False,0.027839213621204117,-0.014814814814814836,0.015505175742095369,0.11205387205387196,0.04296296296296287,0.09640876921259271,0.2698143028695227,0.27407407407407414,0.18611963749377614,-0.054621848739495826,4.957785911141599e-05,2025,강세,,,37.888932127951534
20231124000264,20231124,000100,유한양행,Y,bonus,주요사항보고서(무상증자결정),False,False,False,False,bonus,2023-11-24,103,6,True,-0.011239802286845735,-0.01615380720085069,-0.021964367253902405,0.12924733723815462,0.12924733723815462,0.11287997927116701,0.1756263803794904,0.1798862312847087,0.12838928573924652,0.006678016354812688,-0.0012811956550340398,2023,반등,대,50~80,46.86905581226526
