code,strategy,buy,sell,hold_td,ret,pnl_at_sell,rsi_sell,rsi_chg5,rs_vs_mkt,after5,after5_mkt,after5_exc,closed5,after10,after10_mkt,after10_exc,closed10,after20,after20_mkt,after20_exc,closed20,hold40_ret,hold40_closed,sell_vs_hold40,type
010140,저변동,09-01,09-04,3,0.2,1.904761904761898,50.243713993466294,2.7298135796424035,3.044462079960819,0.0,,,False,0.0,,,False,0.0,,,False,1.904761904761898,False,0.0,기타
042700,공매도,09-01,09-04,3,4.2,6.976744186046502,55.749114358410395,5.327435414886978,8.116444361245422,0.0,,,False,0.0,,,False,0.0,,,False,6.976744186046502,False,0.0,기타
030000,공매도,09-01,09-04,3,-1.5,-1.3034410844629862,48.7069482438951,-9.073728211795213,-0.16374090926406515,0.0,,,False,0.0,,,False,0.0,,,False,-1.3034410844629862,False,0.0,기타
383220,저변동,08-12,09-03,15,-0.8,0.15105740181269312,46.66520115478402,7.654175545931807,4.062934120486217,0.9049773755656076,1.830744508998916,-0.9257671334333084,False,0.9049773755656076,1.830744508998916,-0.9257671334333084,False,0.9049773755656076,1.830744508998916,-0.9257671334333084,False,1.0574018126888296,False,-0.9063444108761365,기타
249420,저변동,07-01,09-02,43,2.8,-2.078384798099764,59.3565974582346,8.028652281853553,1.2140163407968307,-8.853850818677989,1.2489848000379666,-10.102835618715956,False,-8.853850818677989,1.2489848000379666,-10.102835618715956,False,-8.853850818677989,1.2489848000379666,-10.102835618715956,False,-11.876484560570066,True,9.798099762470303,기타
950190,저변동,08-18,09-01,10,16.0,14.318706697459582,60.98921524178885,20.11769850903375,13.628196881815157,-5.05050505050505,-1.139700175198921,-3.910804875306129,False,-5.05050505050505,-1.139700175198921,-3.910804875306129,False,-5.05050505050505,-1.139700175198921,-3.910804875306129,False,8.545034642032334,False,5.773672055427248,기타
039200,저변동,07-01,08-31,41,3.1,-4.625850340136051,48.27819255794741,-10.069681515628538,-3.8310362973789758,4.422253922967179,-1.3000569208534096,5.722310843820589,False,4.422253922967179,-1.3000569208534096,5.722310843820589,False,4.422253922967179,-1.3000569208534096,5.722310843820589,False,-2.5850340136054473,True,-2.0408163265306034,RSI급락
462870,저변동,08-05,08-31,17,-0.6,1.0835913312693402,52.85395807781441,4.202481216765108,-3.941749015407914,-2.450229709035223,-1.3000569208534096,-1.1501727881818136,False,-2.450229709035223,-1.3000569208534096,-1.1501727881818136,False,-2.450229709035223,-1.3000569208534096,-1.1501727881818136,False,-1.393188854489169,False,2.4767801857585092,기타
005690,저변동,08-07,08-31,15,-2.6,-0.7149240393208189,48.27054430410241,0.7811962978938496,-5.764479342148709,-5.490549054905491,-1.3000569208534096,-4.190492134052082,False,-5.490549054905491,-1.3000569208534096,-4.190492134052082,False,-5.490549054905491,-1.3000569208534096,-4.190492134052082,False,-6.166219839142095,False,5.451295799821276,기타
011200,스윙,08-13,08-26,8,2.8,1.4251781472684133,50.66524547408444,-5.688024578867001,3.57603823384407,-2.576112412177989,-1.279752538968526,-1.2963598732094628,True,-1.4051522248243575,-0.04675165362038047,-1.358400571203977,False,-1.4051522248243575,-0.04675165362038047,-1.358400571203977,False,0.0,False,1.4251781472684133,기타
