cagr,sharpe,mdd,N,tr,off
0.11655423021849831,0.7343400410093733,-0.24409752419543806,10,1,0
0.06337441617580297,0.4130829518297606,-0.21263232729487203,10,1,5
0.1217097612238478,0.7995487411672402,-0.15623378183317316,10,1,10
0.0990650232610304,0.634730033856079,-0.21291949341687755,10,1,15
0.11321441249376707,0.7609597099150008,-0.17919065804415601,10,1,20
0.09219834264289495,0.6078527458780993,-0.21961174195824407,10,1,25
0.09918135685049623,0.6670243452849615,-0.1852545371126475,10,1,30
0.07890677358352538,0.4968736733566275,-0.22426462645309253,10,1,35
0.11649076194882313,0.786305274579372,-0.20710149559389002,10,2,0
0.08817608175577396,0.5988027695154851,-0.2158177299819931,10,2,5
0.12695819424699395,0.8719360024833538,-0.17070116570561267,10,2,10
0.10616425259516848,0.7029748256580801,-0.21164445530013065,10,2,15
0.1130989737166812,0.7814170755306244,-0.18774018144059013,10,4,0
0.08360979842132266,0.5728348469898439,-0.19080264749108478,10,4,2
0.07014260754270185,0.474170751868624,-0.21119699839791306,10,4,4
0.07661817545852645,0.5213916122136276,-0.21390153183064675,10,4,6
0.08085221441763779,0.5584337450762626,-0.21197659396284674,10,4,8
0.07994418947479587,0.5212775003189063,-0.22447198158305603,20,1,0
0.07986243321011322,0.5232253536668956,-0.22580626442016294,20,1,5
0.12658767202818022,0.8541469772930105,-0.21513616098064492,20,1,10
0.047124516041307185,0.30593163723698963,-0.24187796757652413,20,1,15
0.015134471621869094,0.10176122128352659,-0.22920979739336667,20,1,20
0.057565625306038815,0.3762225959074887,-0.24104384272878288,20,1,25
0.062359495385940544,0.42172613665027275,-0.21181171874307236,20,1,30
0.04770605063478395,0.3008279364574623,-0.21946584063374286,20,1,35
0.04980239367511441,0.3395640627408245,-0.22495362551119424,20,2,0
0.07935840651572845,0.5276848304131605,-0.23173080229269616,20,2,5
0.11182075328610463,0.7684523393003473,-0.2131229430255146,20,2,10
0.07085011022189813,0.4625414581315611,-0.21773370681469806,20,2,15
0.071525362484536,0.49409891263806716,-0.21897738657565724,20,4,0
0.08010353548312366,0.5397911859235269,-0.2188003186458951,20,4,2
0.0603837083230645,0.40776038246201296,-0.22771899826905506,20,4,4
0.06600382804221194,0.4427696620461345,-0.2251684335151899,20,4,6
0.06409224687395998,0.432646335463216,-0.23243828937248168,20,4,8
