cut,key,metric,n,mean,lo,hi,pos
type_year,"('bw', '2026')",exm60,14,-0.05338695759805683,-0.340424967866332,0.2744738171240188,0.23529411764705882
type_year,"('cb', '2023')",pre20,96,0.0611246036821495,0.008754242986243544,0.11523470914983858,0.5520833333333334
type_year,"('cb', '2023')",react,96,0.008599471895649996,-0.004156829038322799,0.021594725322043175,0.46875
type_year,"('cb', '2023')",ex5,96,0.013328754724053142,-0.009024931268201175,0.03967626950874073,0.40625
type_year,"('cb', '2023')",ex20,96,-0.024690992468797926,-0.06336731520620925,0.017781382995081172,0.3020833333333333
type_year,"('cb', '2023')",ex60,96,-0.0630996946829594,-0.11885639768878899,0.0032817520642084838,0.3020833333333333
type_year,"('cb', '2023')",raw20,96,-0.058544999044391505,-0.09892170952805715,-0.01396404673335362,0.2708333333333333
type_year,"('cb', '2023')",exm20,96,-0.03801689372328635,-0.07721710213382171,0.004491094845861851,0.2708333333333333
type_year,"('cb', '2023')",exm60,96,-0.09330248239706564,-0.14999464884335867,-0.026443938064727834,0.2604166666666667
type_year,"('cb', '2024')",pre20,279,0.10990433763993777,0.0780268630511116,0.14056348600306676,0.6093189964157706
type_year,"('cb', '2024')",react,279,0.03872130528317547,0.023271379632947262,0.05416837579305951,0.5412186379928315
