cagr,vol,sharpe,mdd,score,N,k,weight,cost
0.12713591858425222,0.14452231572883117,0.8796974913050712,-0.19681579806790805,조용함(lv60+to20),10,20,equal,0.0
0.05833745535400081,0.14452231572883117,0.40365707579347143,-0.20505204641691455,조용함(lv60+to20),10,20,equal,0.005
0.1544519236793065,0.14078112424085937,1.0971067642211612,-0.17968351575278085,조용함(lv60+to20),10,20,rank,0.0
0.08399277699434005,0.14078112424085937,0.5966195926283315,-0.18809109263492507,조용함(lv60+to20),10,20,rank,0.005
0.1230388290578448,0.13906010444905711,0.8847888439701158,-0.17656022598319954,조용함(lv60+to20),10,20,invvol,0.0
0.054489690784033984,0.13906010444905711,0.39184272872451054,-0.18499895792009824,조용함(lv60+to20),10,20,invvol,0.005
0.14870354748181724,0.14473573365399123,1.027414196395422,-0.1835450858147636,조용함(lv60+to20),10,40,equal,0.0
0.1130989737166812,0.14473573365399123,0.7814170755306244,-0.18774018144059013,조용함(lv60+to20),10,40,equal,0.005
0.1678139883339107,0.1434471050677635,1.1698666784152698,-0.18419223526297956,조용함(lv60+to20),10,40,rank,0.0
0.13161944031660533,0.1434471050677635,0.9175468564139314,-0.18686057879882423,조용함(lv60+to20),10,40,rank,0.005
0.1378946152880589,0.13876195916715564,0.9937494116953774,-0.1687463177040146,조용함(lv60+to20),10,40,invvol,0.0
0.10262388318411042,0.13876195916715564,0.7395678455396228,-0.17156675604777039,조용함(lv60+to20),10,40,invvol,0.005
0.088097923170249,0.1459938445594786,0.6034358738621851,-0.22144631186052421,조용함(lv60+to20),20,20,equal,0.0
0.021673210630596795,0.1459938445594786,0.14845290701120636,-0.23569736407634923,조용함(lv60+to20),20,20,equal,0.005
0.109929543354649,0.14215058030384062,0.7733316537975394,-0.20589326125305896,조용함(lv60+to20),20,20,rank,0.0
0.04217740767411904,0.14215058030384062,0.2967093597786705,-0.21403862514043726,조용함(lv60+to20),20,20,rank,0.005
0.07902961221649774,0.14095780068742245,0.5606615017479447,-0.20479752917674432,조용함(lv60+to20),20,20,invvol,0.0
0.013156554766298845,0.14095780068742245,0.09333683345041573,-0.21875265039078906,조용함(lv60+to20),20,20,invvol,0.005
0.10580538742215184,0.1447591983205377,0.7309061437869313,-0.21090581704634126,조용함(lv60+to20),20,40,equal,0.0
0.071525362484536,0.1447591983205377,0.49409891263806716,-0.21897738657565724,조용함(lv60+to20),20,40,equal,0.005
0.1306940134838872,0.14281765771728824,0.9151110273955049,-0.1918392403707323,조용함(lv60+to20),20,40,rank,0.0
