add,dIC,lo,hi,n,pos,ortho_ic,ortho_lo,ortho_hi,dTop20_exc_pp,dTop20_lo,dTop20_hi,dTop20_h40_pp,dTop20_h40_lo,dTop20_h40_hi,d_강세,d_조정,d_반등,d_약세
hl_range20,0.005225457803810745,0.002213724075255547,0.007866527133283606,629,0.6581875993640699,0.058780001160699084,0.04072538031770731,0.07374372434004732,0.08897185052900607,-0.10094927197329723,0.3612600440492664,0.052864027733335296,-0.3472019430677261,0.45963158641937374,0.004415957240270054,0.006301462703205816,0.005596031466919813,0.005937641387917001
amihud20,0.004880911429248529,-0.011469545883099294,0.020177241579233555,629,0.5405405405405406,0.05586882151151911,0.026567794515553342,0.08599156871697396,1.4288849583388927,0.6412762344058455,2.309831724210453,2.4092887317364924,1.0528350316365989,3.971872409160293,0.02079504073228493,-0.0010327129427030876,0.004485196218654351,-0.014313558342962001
size,0.00425534669260542,-0.010113167226214808,0.01844077629004578,629,0.5437201907790143,0.050163651849368864,0.014743624307096479,0.08746810078563332,1.3842611841020631,0.7912380979195957,1.9881997372091245,2.11154876436118,1.1561561659581112,2.9106892928176413,0.018676822903718537,-0.000937374019798443,0.0025384144115308937,-0.01289365912017704
mom_consist,0.0010562104788018787,-0.011984604858593454,0.013504760488704474,629,0.46740858505564387,0.04745478333540132,0.027044328139989908,0.07062660277561443,0.8882318247443214,0.28462402701176603,1.5714170800507732,1.5686315682316831,0.28639861570317526,3.1856177875504974,0.010608835090952418,0.013229246362231866,0.006945807053757277,-0.01561712353382377
ivol60,-0.0015657098234654067,-0.004791348777689786,0.001672154111635929,629,0.4276629570747218,0.011109736219774636,-0.005662773575819818,0.029265760353488574,-0.04964545033273418,-0.20989295208775158,0.15026379039844975,-0.20539381557875314,-0.49513253766739174,0.11108166802461024,-0.0004578823039342322,0.0015603111871167028,-0.0012605583430529883,-0.0038408379855406397
logprice,-0.001868921162734441,-0.016441546462634137,0.013200617862636438,629,0.5166931637519873,0.03551484193562375,0.005327865985313736,0.06990784142463755,0.9011155047550676,0.23645377555459837,1.5664169438060316,1.6680997437385967,0.4933728864213804,2.873122062012059,0.01190089240576014,-0.004085960916983933,-0.008247731032220455,-0.017918471732337914
max5_21,-0.0023554991002128585,-0.006973713272530469,0.0015444653745024263,629,0.4419713831478537,0.03035047314769869,0.015207048943414181,0.0440128011451862,-0.130246283166036,-0.3691878820912566,0.18257331609731722,-0.09344146610533684,-0.5217069214608083,0.42243557590201425,-0.005442386165567911,-0.005378799555863976,0.0017259765721612964,0.001548884459668516
nh252,-0.004044849525557011,-0.015002727120844151,0.00836064169148779,629,0.505564387917329,0.030098022303221447,0.0027844839867259075,0.06317344775176145,0.8518404657945962,0.43020750740487973,1.3640323296950065,1.0971773020834346,0.4029231451697415,2.0003986591730656,0.004766355954446554,0.01524664797202474,-0.002570785278925325,-0.020571195890749808
volvol20,-0.004443148515604481,-0.009062856603575854,-0.0003454877192838995,629,0.383147853736089,0.020717784288928294,0.006152091218651693,0.035673124005720834,0.07070524961532525,-0.16088438675071362,0.2928351739051443,-0.09498197213985285,-0.39691668295303634,0.23980751690963897,-0.004789499961739752,-0.007376160496285949,-0.005093039190740801,-0.003134772187416408
min_ret20,-0.007826554612628326,-0.011112923773626852,-0.004107291524595307,629,0.27344992050874406,0.012768480452832387,3.911844063088463e-05,0.029707412824588095,0.26321645023595613,0.08044091232321984,0.5141136968457026,0.32061103451227135,-0.014681867981881506,0.7564610198562842,-0.007818707727237076,-0.009891821925180014,-0.008074495251792569,-0.007277319545867026
