model,ic,lo,hi,n,top20_exc_pp,te_lo,te_hi,dIC_vs_base,d_lo,d_hi,ic_강세,ic_조정,ic_반등,ic_약세
순위합 lv60+to20(기준),0.17602509794072718,0.12759010981514843,0.24638969004773364,385,2.577162929220787,1.1862734885835355,4.7061253735077715,0.0,0.0,0.0,0.17457396220491347,0.101427364043567,0.19653580660660672,0.2089245183517131
릿지 전체30,0.1445521937774097,0.11059226133741328,0.1916042765323206,385,4.731915048059833,2.7421954043597485,7.419679178936546,-0.031472904163317474,-0.10771356478555394,0.02577537028278123,0.17275015549750786,0.11822004985109216,0.1336469996149673,0.08240729708482046
릿지 조용함군 제외,0.10630110228008331,0.06376965546512266,0.15616797161500262,385,4.10126191111339,2.162796064937036,6.41933948133876,-0.06972399566064386,-0.16813547198994297,0.000658127799599361,0.13671840365953114,0.09065924201242821,0.09692910032002212,0.033453647797588526
릿지 조용함군만,0.1566173066408891,0.13054191390689446,0.1966617406444389,385,3.686546714817575,2.538130470699713,5.4422426589513515,-0.019407791299838054,-0.07039105028756927,0.01582636814239236,0.17007561206387817,0.11634810304517607,0.16866250935973087,0.1363645746906091
릿지 대손실회피 타깃,0.1553983806504413,0.11744566265907806,0.2141971159383989,385,2.7064808688299373,1.7360192242626626,4.329140447113981,-0.020626717290285843,-0.04127626712377133,-0.0009765841331913128,0.14304115780197935,0.11100501540299201,0.1309181184521764,0.2107833540851201
