universe,h,n,share,ic_abs,ic_diff,ic_lo,ic_hi,top20_ex,top20_diff,t_lo,t_hi,pos
기본,5,47,1.0,0.10877507234083542,0.0,0.0,0.0,0.013865174686488293,0.0,0.0,0.0,0.0
기본,10,44,1.0,0.15377609048432683,0.0,0.0,0.0,0.021406918435135914,0.0,0.0,0.0,0.0
기본,20,38,1.0,0.17365289250370766,0.0,0.0,0.0,0.03891134227346929,0.0,0.0,0.0,0.0
과매도30~60,5,45,0.6274846002413158,0.14286780934730683,0.01423961521055751,0.0009502263997525463,0.028831114607289078,0.013212070673156884,-0.000653104013331406,-0.004736179638230905,0.002491574948448496,0.5686274509803921
과매도30~60,10,42,0.6274846002413158,0.1800335134548422,0.008265484287988397,-0.002460205674350104,0.017760167125729153,0.02180168376303696,0.00039476532790104333,-0.002842340200885823,0.004580092504129799,0.46808510638297873
과매도30~60,20,38,0.6274846002413158,0.1837863543812882,0.010133461877580519,0.0017020264182574041,0.022910517243130393,0.03950082033849772,0.0005894780650284353,-0.005084260701633522,0.004588247615018517,0.5526315789473685
과매도30~50,5,44,0.29345272115323556,0.13709144287786937,0.0032261025167104533,-0.028691086865541608,0.029726349888891227,0.007669269348311094,-0.006195905338177198,-0.013950105027150704,-0.0007802432095649678,0.37254901960784315
과매도30~50,10,41,0.29345272115323556,0.1768066876931198,0.001703587180626183,-0.017964041368027157,0.021814095437548937,0.014123298740484862,-0.007283619694651046,-0.013462879923682752,-0.0001256351659943726,0.3404255319148936
과매도30~50,20,38,0.29345272115323556,0.19114877566431845,0.017495883160610782,-0.0014176136888106785,0.050270101290653985,0.024009395143245117,-0.014901947130224177,-0.025965572631890428,-0.0033043594896490194,0.23684210526315788
과매도40~70,5,47,1.0,0.10877507234083542,0.0,0.0,0.0,0.013865174686488293,0.0,0.0,0.0,0.0
과매도40~70,10,44,1.0,0.15377609048432683,0.0,0.0,0.0,0.021406918435135914,0.0,0.0,0.0,0.0
과매도40~70,20,38,1.0,0.17365289250370766,0.0,0.0,0.0,0.03891134227346929,0.0,0.0,0.0,0.0
유동성≥10억,5,45,0.7561440274337969,0.1296684403071361,0.0010402461703867944,-0.00941028695061012,0.013865010766288634,0.01149803581339746,-0.002367138873090834,-0.006343907118547998,0.0012012540865505349,0.39215686274509803
유동성≥10억,10,42,0.7561440274337969,0.17359764142258768,0.001829612255733881,-0.01172040254014916,0.01661318469047322,0.01716920942438774,-0.004237709010748174,-0.008742350025387022,0.002299903296048494,0.3404255319148936
유동성≥10억,20,38,0.7561440274337969,0.17840990612883703,0.004757013625129371,-0.005854435798139996,0.016586282692137196,0.03150620989144288,-0.007405132382026409,-0.018378252096152275,0.0002362103878471872,0.34210526315789475
유동성≥20억,5,45,0.5354035689337652,0.14053581406143334,0.011907619924684025,-0.013344438134744053,0.043343257406643576,0.011108271280853576,-0.0027569034056347144,-0.013678512275674255,0.006317916628467658,0.45098039215686275
유동성≥20억,10,42,0.5354035689337652,0.17450146005276163,0.0027334308859078365,-0.03573979330273802,0.03566827268155137,0.018081865251779284,-0.003325053183356637,-0.017514172694996367,0.013744686317687826,0.3191489361702128
유동성≥20억,20,38,0.5354035689337652,0.17717261054331196,0.003519718039604275,-0.016457259568736417,0.02467289668783147,0.030031229525216887,-0.008880112748252407,-0.029540630280382604,0.012180814157415112,0.3157894736842105
RSI<40,5,45,0.6310408331745729,0.1489881618484169,0.02035996771166758,0.002098496014325404,0.05256916865182688,0.015617269896778464,0.0017520952102901706,-0.002686936038620351,0.005786847799568231,0.5294117647058824
RSI<40,10,42,0.6310408331745729,0.18160569651451447,0.009837667347660681,-0.00020596723335385185,0.02791972389070132,0.02382057220966755,0.0024136537745316307,-0.0065965966896907,0.008462921231084074,0.6170212765957447
RSI<40,20,38,0.6310408331745729,0.17031807022629444,-0.0033348222774132537,-0.017593882279302975,0.014590430328172038,0.037836750549765485,-0.0010745917237038104,-0.005929167099079168,0.002425735479460706,0.5
RSI<35,5,37,0.29891407887216614,0.1944966791080065,0.03233802555274841,0.011149036481716123,0.08210933259458722,0.009143827122104584,-0.004721347564383707,-0.014016391867481716,0.0035165038004655582,0.49019607843137253
RSI<35,10,36,0.29891407887216614,0.23448347447761111,0.031383932698563606,0.003289596894171735,0.07901534363900284,0.01662142714830491,-0.004785491286831004,-0.023827322061974215,0.006318798457106142,0.48936170212765956
RSI<35,20,34,0.29891407887216614,0.2067986711190578,0.001685846514045229,-0.03621489341075254,0.05677827374704423,0.022675234463247575,-0.016236107810221726,-0.0345840448191825,-0.0044367172196899535,0.34210526315789475
코스닥만,5,0,0.0,,,,,,,,,
코스닥만,10,0,0.0,,,,,,,,,
코스닥만,20,0,0.0,,,,,,,,,
코스피만,5,0,0.0,,,,,,,,,
코스피만,10,0,0.0,,,,,,,,,
코스피만,20,0,0.0,,,,,,,,,
희석60d제외,5,46,0.9147774179208739,0.12486580870114908,0.009455874539239585,0.003578239866870888,0.016228242096641154,0.014517103988061764,0.0006519293015734744,-0.0012581470364559338,0.002426049349077197,0.27450980392156865
희석60d제외,10,43,0.9147774179208739,0.17206613059152692,0.012637439996268901,0.003566454281540479,0.016437526195237195,0.024016482030686702,0.0026095635955507906,0.0004793672116822119,0.004511416844535211,0.3829787234042553
희석60d제외,20,38,0.9147774179208739,0.17436158376793812,0.0007086912642304175,-0.007253082049051767,0.010217624520699768,0.03995116985392516,0.0010398275804558634,-0.00036816042784596864,0.002215666224916507,0.23684210526315788
on60상위10%제외,5,45,0.8962342033403188,0.12195342979807915,-0.006674764338670148,-0.01608955849128414,0.004519035165697803,0.01401127770537961,0.0001461030188913162,-0.0011004344386987192,0.000976993860177574,0.49019607843137253
on60상위10%제외,10,42,0.8962342033403188,0.16511575539813356,-0.00665227376872023,-0.013495206722478217,0.004543547700215598,0.02213371408688196,0.0007267956517460442,-0.0011658335604714217,0.0016630403672950199,0.5319148936170213
on60상위10%제외,20,38,0.8962342033403188,0.16713164998765517,-0.006521242516052496,-0.012825413331993291,0.00452637623518946,0.03999851689672708,0.0010871746232577826,-0.0005010041309162094,0.0027676584736912183,0.42105263157894735
