days,cagr,vol,sharpe,mdd,total,basket,overlay,avg_w
648,0.08263255429765581,0.14652976205343948,0.5639301745915596,-0.22282849986616082,0.2264945971522232,조용함top20(전체),없음,1.0
648,0.07077862239689581,0.10220513039020443,0.6925153573668293,-0.1681184639209803,0.19225907517567964,조용함top20(전체),KOSDAQ<SMA20→50%,0.7776923076923077
648,0.018383608143059726,0.11876471145611686,0.15479015540615704,-0.2654495142887441,0.047957332678190356,조용함top20(전체),KOSPI<SMA20→50%,0.8215384615384616
648,0.029015302947885457,0.12159282750472528,0.23862676395742077,-0.270248601341057,0.07632110773809142,조용함top20(전체),둘다<SMA20→50%,0.8576923076923076
648,0.05971543268121038,0.0988399399343932,0.6041629802774827,-0.16264773523694886,0.16084004234404015,조용함top20(전체),둘중하나<SMA20→50%,0.7415384615384616
648,0.055128285520064546,0.08231567631199121,0.6697179442603184,-0.11524385333654275,0.1479628290256807,조용함top20(전체),KOSDAQ<SMA20→0%,0.5553846153846154
648,-0.044408536346908556,0.10787101487669128,-0.411681825721882,-0.3103681148366222,-0.11024276193040294,조용함top20(전체),KOSPI<SMA20→0%,0.6430769230769231
648,-0.02413040858414106,0.1120308201470992,-0.21539080542708913,-0.3171097807360397,-0.060878606934982704,조용함top20(전체),둘다<SMA20→0%,0.7153846153846154
648,0.0332031980205727,0.07664162054899404,0.43322672175684457,-0.12756099522342745,0.08762109318676337,조용함top20(전체),둘중하나<SMA20→0%,0.48307692307692307
648,0.01940807342068762,0.11850550659626355,0.1637735998784343,-0.26422370476360924,0.05067031590213822,조용함top20(전체),시장별<SMA20→50%,
648,-0.04247379758286818,0.10719539199338314,-0.3962278302549606,-0.3078489258601502,-0.10560309657175215,조용함top20(전체),시장별<SMA20→0%,
648,0.06113497642936805,0.11102849336684743,0.5506242098356948,-0.18821768363408076,0.1648428372738464,조용함top20(전체),KOSDAQ<SMA20→50% (신호 2일전),0.7784615384615384
648,0.09266177266871689,0.14647466118896083,0.6326129851850473,-0.22178107174663675,0.255923987777827,조용함top20(코스피만),없음,1.0
648,0.07744766937040426,0.10236845527331154,0.7565579568786912,-0.16488340439497728,0.21144716642568118,조용함top20(코스피만),KOSDAQ<SMA20→50%,0.7776923076923077
648,0.024920878715111172,0.11903327619085446,0.20936060497195563,-0.2631378157603472,0.06534297485541796,조용함top20(코스피만),KOSPI<SMA20→50%,0.8215384615384616
648,0.036412584224868816,0.12184828842243907,0.29883541817697973,-0.2666433792519154,0.09632967848571039,조용함top20(코스피만),둘다<SMA20→50%,0.8576923076923076
648,0.0655009683103831,0.0990179778129633,0.6615058169952629,-0.1608914117328406,0.17720677774840143,조용함top20(코스피만),둘중하나<SMA20→50%,0.7415384615384616
648,0.05852425800305028,0.08262590711120228,0.7083039696530685,-0.11651379494132141,0.15748769206909974,조용함top20(코스피만),KOSDAQ<SMA20→0%,0.5553846153846154
648,-0.04096000323644633,0.10829318432719647,-0.37823251288548304,-0.3109628382247104,-0.10196260308298388,조용함top20(코스피만),KOSPI<SMA20→0%,0.6430769230769231
648,-0.019110863628197694,0.1124302107463046,-0.16997979014128847,-0.3151749094849835,-0.04840700858881686,조용함top20(코스피만),둘다<SMA20→0%,0.7153846153846154
648,0.03494580919142076,0.07698881342579189,0.4539076215936798,-0.13004290483463554,0.09234435660115747,조용함top20(코스피만),둘중하나<SMA20→0%,0.48307692307692307
648,0.024920878715111172,0.11903327619085446,0.20936060497195563,-0.2631378157603472,0.06534297485541796,조용함top20(코스피만),시장별<SMA20→50%,
648,-0.04096000323644633,0.10829318432719647,-0.37823251288548304,-0.3109628382247104,-0.10196260308298388,조용함top20(코스피만),시장별<SMA20→0%,
648,0.06810061796959022,0.11114751263026966,0.6127048312464336,-0.18394807441304428,0.1846065837302684,조용함top20(코스피만),KOSDAQ<SMA20→50% (신호 2일전),0.7784615384615384
648,0.06847083813468324,0.20935315915452968,0.3270590155467533,-0.23193512644745784,0.18566270740626933,조용함top20(코스닥만),없음,1.0
648,0.1035871003537634,0.14225927618224957,0.7281570884773594,-0.14461311902477003,0.28846953376785267,조용함top20(코스닥만),KOSDAQ<SMA20→50%,0.7776923076923077
648,0.0073392900261601834,0.15928905976309465,0.04607529253468924,-0.2680496235754438,0.018981441732900395,조용함top20(코스닥만),KOSPI<SMA20→50%,0.8215384615384616
648,0.028960292735927817,0.16307566945946353,0.17758806590781226,-0.2803196776914144,0.07617315617247522,조용함top20(코스닥만),둘다<SMA20→50%,0.8576923076923076
648,0.08039800369409456,0.13794431586033407,0.5828294061459985,-0.14336725937518813,0.21999562581289833,조용함top20(코스닥만),둘중하나<SMA20→50%,0.7415384615384616
648,0.13081123485608992,0.1111757239375818,1.1766168928167469,-0.1018900322213514,0.37179389654250916,조용함top20(코스닥만),KOSDAQ<SMA20→0%,0.5553846153846154
648,-0.056186489338709844,0.13857732178130563,-0.40545226748847096,-0.3247456274729794,-0.1381699530070215,조용함top20(코스닥만),KOSPI<SMA20→0%,0.6430769230769231
648,-0.014834461419658718,0.14438680687423855,-0.1027411142389179,-0.3389992753677352,-0.03770240270971981,조용함top20(코스닥만),둘다<SMA20→0%,0.7153846153846154
648,0.08334577253152409,0.10374282537440509,0.8033883040174722,-0.12039595377943124,0.22857336613018786,조용함top20(코스닥만),둘중하나<SMA20→0%,0.48307692307692307
648,0.1035871003537634,0.14225927618224957,0.7281570884773594,-0.14461311902477003,0.28846953376785267,조용함top20(코스닥만),시장별<SMA20→50%,
648,0.13081123485608992,0.1111757239375818,1.1766168928167469,-0.1018900322213514,0.37179389654250916,조용함top20(코스닥만),시장별<SMA20→0%,
648,0.07021128323309389,0.14890013734813354,0.4715326962320897,-0.16080660513734546,0.19063536931836267,조용함top20(코스닥만),KOSDAQ<SMA20→50% (신호 2일전),0.7784615384615384
