code,a,actual,hold20,hold40,trail10,trail15,best
010140,20260901,0.2,1.904761904761898,1.904761904761898,1.904761904761898,1.904761904761898,3.0952380952380842
042700,20260901,4.2,6.976744186046502,6.976744186046502,6.976744186046502,6.976744186046502,6.976744186046502
030000,20260901,-1.5,-1.3034410844629862,-1.3034410844629862,-1.3034410844629862,-1.3034410844629862,-1.2513034410844615
383220,20260812,-0.8,1.0574018126888296,1.0574018126888296,-5.377643504531726,1.0574018126888296,3.92749244712991
249420,20260701,2.8,-25.237529691211403,-11.876484560570066,-9.999999999999998,-15.000000000000002,-0.8907363420427528
950190,20260818,16.0,8.545034642032334,8.545034642032334,1.7436489607390193,-3.9087759815242484,16.166281755196298
039200,20260701,3.1,-22.72108843537415,-2.5850340136054473,-9.999999999999998,-15.000000000000002,5.714285714285716
462870,20260805,-0.6,-0.9287925696594423,-1.393188854489169,-1.393188854489169,-1.393188854489169,4.179566563467496
005690,20260807,-2.6,-6.166219839142095,-6.166219839142095,18.954423592493306,12.345844504021454,6.523681858802499
272210,20260630,6.1,-25.753424657534254,6.712328767123288,-3.3424657534246616,2.3493150684931408,10.821917808219172
030200,20260731,3.1,2.8901734104046284,4.6242774566473965,4.6242774566473965,4.6242774566473965,5.009633911368017
114090,20260806,1.4,2.9001074113855996,2.9001074113855996,2.9001074113855996,2.9001074113855996,3.866809881847466
037270,20260804,10.7,-6.726457399103136,-5.231689088191327,-1.3901345291479794,-6.868460388639763,8.6696562032885
083650,20260630,0.9,-34.15750915750916,17.216117216117222,2.19780219780219,-3.4798534798534786,18.681318681318682
103590,20260630,0.9,-36.23853211009175,-1.5727391874180818,-0.917431192660545,-6.422018348623848,9.305373525557004
017800,20260708,1.4,4.473304473304474,8.080808080808088,-6.7532467532467555,8.080808080808088,9.090909090909083
443060,20260709,1.6,3.750660327522448,11.19915478077127,0.07923930269413404,-1.2150026413100923,16.74590596936081
003550,20260713,5.6,9.06344410876132,21.953675730110778,-7.190332326283988,-11.233635448136958,21.953675730110778
035720,20260707,9.7,7.768361581920913,-0.14124293785310327,5.381355932203391,-0.47316384180791093,14.971751412429368
326030,20260722,3.1,12.630208333333325,12.760416666666675,-2.382812499999998,12.760416666666675,19.270833333333325
036570,20260731,4.9,-4.264392324093813,-5.330490405117272,2.857142857142847,-2.857142857142858,8.955223880597018
017670,20260713,11.7,0.3500583430571691,7.934655775962662,-2.018669778296378,4.7374562427071165,19.369894982497083
003490,20260722,2.4,0.6024096385542244,21.285140562248994,-1.1445783132530085,21.285140562248994,21.285140562248994
257720,20260630,15.0,9.320695102685628,55.29225908372828,2.369668246445489,8.633491311216424,63.98104265402844
050890,20260702,-16.91,-19.1793893129771,-15.267175572519086,-6.650763358778622,-11.836832061068703,2.8625954198473247
001040,20260811,-2.06,-3.2400589101620025,-3.2400589101620025,-3.6377025036818833,-8.99116347569956,1.8409425625920406
376300,20260819,-3.16,-1.7410228509249226,-1.7410228509249226,-1.7410228509249226,-1.7410228509249226,2.883569096844396
015760,20260824,2.88,2.063492063492056,2.063492063492056,4.0000000000000036,2.063492063492056,10.476190476190483
035720,20260826,0.28,-0.4126547455295726,-0.4126547455295726,-0.4126547455295726,-0.4126547455295726,1.375515818431916
352820,20260812,-0.22,-0.5571030640668551,-0.5571030640668551,-8.796657381615603,-0.5571030640668551,0.278551532033422
088980,20260813,2.16,3.2258064516129004,3.2258064516129004,3.2258064516129004,3.2258064516129004,3.6420395421435936
215000,20260818,3.52,5.747126436781613,5.747126436781613,5.747126436781613,5.747126436781613,5.747126436781613
217590,20260831,-6.23,-8.15602836879432,-8.15602836879432,-9.999999999999998,-8.15602836879432,-2.5709219858155996
000120,20260903,2.23,-0.1360544217687054,-0.1360544217687054,-0.1360544217687054,-0.1360544217687054,-0.1360544217687054
