variant,kind,h,n,ic_var,ic_base,diff,lo,hi,pos
+px_lv60,add,5,47,0.05027130488808501,0.10877507234083542,-0.058503767452750426,-0.16794729455359425,0.041982986918268246,0.3404255319148936
+px_lv60,add,10,44,0.07066325477483107,0.15377609048432683,-0.08311283570949578,-0.22346828902917476,0.030587615167308426,0.3409090909090909
+px_lv60,add,20,38,0.04828807893238798,0.17365289250370766,-0.1253648135713197,-0.22649307093515905,-0.016836443633482037,0.23684210526315788
+px_lv60,replace_roe,5,47,-0.0048667290875921265,0.10877507234083542,-0.11364180142842757,-0.26436990495682483,0.02122931583898099,0.3617021276595745
+px_lv60,replace_roe,10,44,0.012092634907532792,0.15377609048432683,-0.14168345557679402,-0.3265548555575981,0.008818458292682187,0.3409090909090909
+px_lv60,replace_roe,20,38,-0.011898792317910549,0.17365289250370766,-0.1855516848216182,-0.3494563623582271,-0.007206581808721017,0.2894736842105263
-px_lv60,add,5,47,0.11485183876398779,0.10877507234083542,0.006076766423152355,-0.02816375482046797,0.04669564747798063,0.5957446808510638
-px_lv60,add,10,44,0.16703057005094465,0.15377609048432683,0.01325447956661785,-0.02316191411022008,0.06387630890550444,0.6818181818181818
-px_lv60,add,20,38,0.21085919225015945,0.17365289250370766,0.03720629974645182,0.007816076801787053,0.06373010089211141,0.7894736842105263
-px_lv60,replace_roe,5,47,0.1157512259793733,0.10877507234083542,0.006976153638537865,-0.0441163290353323,0.06574513982650664,0.48936170212765956
-px_lv60,replace_roe,10,44,0.17437051710488452,0.15377609048432683,0.020594426620557646,-0.035235690715158245,0.09398507195084728,0.6136363636363636
-px_lv60,replace_roe,20,38,0.2254928772224174,0.17365289250370766,0.05183998471870974,0.018055214344525967,0.0845024962802252,0.7631578947368421
+px_lv20,add,5,47,0.03593709709804849,0.10877507234083542,-0.07283797524278694,-0.16520401765995177,0.00635821061076491,0.3829787234042553
+px_lv20,add,10,44,0.04368210941412634,0.15377609048432683,-0.11009398107020049,-0.21748554131884518,-0.010778989573677282,0.3181818181818182
+px_lv20,add,20,38,0.04257038828509794,0.17365289250370766,-0.13108250421860976,-0.22347799095899085,-0.032777965548835546,0.15789473684210525
+px_lv20,replace_roe,5,47,-0.02842316228256063,0.10877507234083542,-0.137198234623396,-0.2661294124510477,-0.020900155052527944,0.3617021276595745
+px_lv20,replace_roe,10,44,-0.039685556932394415,0.15377609048432683,-0.19346164741672126,-0.3338384064928292,-0.055804462321170915,0.25
+px_lv20,replace_roe,20,38,-0.038533274137496,0.17365289250370766,-0.21218616664120366,-0.3798083348783675,-0.03426515780357053,0.3157894736842105
-px_lv20,add,5,47,0.1221909303716567,0.10877507234083542,0.013415858030821255,-0.012409012485035169,0.03933210825023838,0.6170212765957447
-px_lv20,add,10,44,0.18001542637863768,0.15377609048432683,0.026239335894310874,-0.002379090093600391,0.05809709633710628,0.6818181818181818
-px_lv20,add,20,38,0.21030772748441348,0.17365289250370766,0.03665483498070579,0.012606655404981442,0.059651164404559955,0.8157894736842105
-px_lv20,replace_roe,5,47,0.11806361111120942,0.10877507234083542,0.009288538770373984,-0.03463279844347394,0.05635941098628529,0.5531914893617021
-px_lv20,replace_roe,10,44,0.18578426611583101,0.15377609048432683,0.03200817563150413,-0.013584773525456917,0.0812258046858841,0.7045454545454546
-px_lv20,replace_roe,20,38,0.22609132251990074,0.17365289250370766,0.052438430016192965,0.024791762966530052,0.0850592785090631,0.8157894736842105
+px_rv21,add,5,47,0.033462497523699945,0.10877507234083542,-0.07531257481713548,-0.16452124817893113,7.633259235580712e-05,0.3829787234042553
+px_rv21,add,10,44,0.04065418747882909,0.15377609048432683,-0.11312190300549774,-0.219322282006843,-0.01574810684507733,0.25
+px_rv21,add,20,38,0.04174472012771962,0.17365289250370766,-0.1319081723759881,-0.22285436028263783,-0.03530214884939493,0.13157894736842105
+px_rv21,replace_roe,5,47,-0.035053818470202724,0.10877507234083542,-0.14382889081103817,-0.26354587005819785,-0.04726986431602782,0.2553191489361702
+px_rv21,replace_roe,10,44,-0.05496497499025763,0.15377609048432683,-0.20874106547458446,-0.3412264687412799,-0.07431735976163147,0.20454545454545456
+px_rv21,replace_roe,20,38,-0.044099819082645896,0.17365289250370766,-0.21775271158635356,-0.37572610297217285,-0.04555111462367611,0.2894736842105263
-px_rv21,add,5,47,0.12218896942137701,0.10877507234083542,0.013413897080541535,-0.010784368130041721,0.03877055985167987,0.5957446808510638
-px_rv21,add,10,44,0.1808473494220578,0.15377609048432683,0.02707125893773092,-0.0008999099156256622,0.057246133170792676,0.6818181818181818
-px_rv21,add,20,38,0.20987934955940488,0.17365289250370766,0.036226457055697166,0.012521594755944424,0.058484149484566324,0.8421052631578947
-px_rv21,replace_roe,5,47,0.11727830405274668,0.10877507234083542,0.008503231711911245,-0.03358651981302146,0.05526119658488575,0.5106382978723404
-px_rv21,replace_roe,10,44,0.18598763336672677,0.15377609048432683,0.03221154288239989,-0.012076869991022423,0.07990795726993924,0.6818181818181818
-px_rv21,replace_roe,20,38,0.2258245228696456,0.17365289250370766,0.05217163036593795,0.025887912924287923,0.08344895899523913,0.8421052631578947
+px_to20,add,5,47,0.0271810302035956,0.10877507234083542,-0.08159404213723982,-0.1411749536215946,-0.04097838154730754,0.2765957446808511
+px_to20,add,10,44,0.03960744755382346,0.15377609048432683,-0.11416864293050337,-0.18853883994589438,-0.055904061747928564,0.22727272727272727
+px_to20,add,20,38,0.043267282216607424,0.17365289250370766,-0.13038561028710027,-0.1955938195143497,-0.061142176702745264,0.10526315789473684
+px_to20,replace_roe,5,47,-0.008803846998315481,0.10877507234083542,-0.11757891933915089,-0.18851400131920357,-0.06849182243971172,0.23404255319148937
+px_to20,replace_roe,10,44,-0.004246406751969423,0.15377609048432683,-0.15802249723629624,-0.24039094688674034,-0.08896051372126601,0.18181818181818182
+px_to20,replace_roe,20,38,0.0017470152722993421,0.17365289250370766,-0.17190587723140832,-0.25771782193385384,-0.07387595065635477,0.18421052631578946
-px_to20,add,5,47,0.13528654294949377,0.10877507234083542,0.02651147060865831,0.010180001949825896,0.04696536112395251,0.7446808510638298
-px_to20,add,10,44,0.19244274916385973,0.15377609048432683,0.03866665867953289,0.02276709497277398,0.05755348081432162,0.8181818181818182
-px_to20,add,20,38,0.21937044220348803,0.17365289250370766,0.0457175496997804,0.03376189122388303,0.058346445074802356,0.9736842105263158
-px_to20,replace_roe,5,47,0.1310015733726151,0.10877507234083542,0.022226501031779672,-0.0074720768356119445,0.058080320114396795,0.574468085106383
-px_to20,replace_roe,10,44,0.19561824124568583,0.15377609048432683,0.04184215076135899,0.006175141197220143,0.08066827818224787,0.75
-px_to20,replace_roe,20,38,0.23403509127006306,0.17365289250370766,0.060382198766355366,0.04179612149728386,0.0832124454474256,0.8947368421052632
+px_nh252,add,5,47,0.0773176734476942,0.10877507234083542,-0.03145739889314122,-0.059287980705412247,-0.00656926099255304,0.2127659574468085
+px_nh252,add,10,44,0.11819608545915798,0.15377609048432683,-0.03558000502516883,-0.07791435026084599,-0.014795953069774501,0.22727272727272727
+px_nh252,add,20,38,0.12080140119430655,0.17365289250370766,-0.052851491309401165,-0.08218187654230806,-0.03641944142109066,0.07894736842105263
+px_nh252,replace_roe,5,47,0.07051482072923354,0.10877507234083542,-0.03826025161160189,-0.0883046403972955,0.004651392032307649,0.2978723404255319
+px_nh252,replace_roe,10,44,0.11975822695248492,0.15377609048432683,-0.03401786353184193,-0.08809657793794194,-0.009026101798583508,0.25
+px_nh252,replace_roe,20,38,0.12130389995620687,0.17365289250370766,-0.052348992547500785,-0.09152333644848304,-0.027519685126789976,0.21052631578947367
-px_nh252,add,5,47,0.10582994323160601,0.10877507234083542,-0.0029451291092294565,-0.05000567077634636,0.05622557679643304,0.3829787234042553
-px_nh252,add,10,44,0.14158544224566844,0.15377609048432683,-0.01219064823865837,-0.05750255306589461,0.06289365679032778,0.38636363636363635
-px_nh252,add,20,38,0.18319977887662886,0.17365289250370766,0.00954688637292115,-0.05085353844266061,0.08780846806545847,0.5526315789473685
-px_nh252,replace_roe,5,47,0.08618160445832714,0.10877507234083542,-0.0225934678825083,-0.08092803048116509,0.05032751552998556,0.3191489361702128
-px_nh252,replace_roe,10,44,0.1270483650147685,0.15377609048432683,-0.02672772546955834,-0.09043109839678681,0.07973953010326482,0.3181818181818182
-px_nh252,replace_roe,20,38,0.18484581662892824,0.17365289250370766,0.011192924125220563,-0.07838095863143345,0.1245642577475754,0.5526315789473685
+px_dlow252,add,5,47,0.03261720626432141,0.10877507234083542,-0.07615786607651404,-0.1562518570643485,-0.00876202212737683,0.3617021276595745
+px_dlow252,add,10,44,0.037477312022621646,0.15377609048432683,-0.11629877846170517,-0.20387344861259432,-0.03969685128977358,0.22727272727272727
+px_dlow252,add,20,38,0.03944970987003388,0.17365289250370766,-0.13420318263367384,-0.21772351783303268,-0.050752536282047664,0.21052631578947367
+px_dlow252,replace_roe,5,47,-0.003217460824399835,0.10877507234083542,-0.11199253316523525,-0.2008280991690678,-0.03889640294758641,0.3617021276595745
+px_dlow252,replace_roe,10,44,-0.008535573550966312,0.15377609048432683,-0.16231166403529315,-0.25801418529210446,-0.07063218899821913,0.20454545454545456
+px_dlow252,replace_roe,20,38,-0.006102939564644722,0.17365289250370766,-0.17975583206835238,-0.29161776608240725,-0.06215246656876674,0.23684210526315788
-px_dlow252,add,5,47,0.13265597430104892,0.10877507234083542,0.023880901960213464,-0.0030557589845252504,0.055802135571364556,0.6382978723404256
-px_dlow252,add,10,44,0.19933413850805118,0.15377609048432683,0.045558048023724346,0.018783068641620715,0.0770669316560421,0.75
-px_dlow252,add,20,38,0.23021224803716003,0.17365289250370766,0.056559355533452295,0.034574796334114324,0.0812852578092103,0.9210526315789473
-px_dlow252,replace_roe,5,47,0.12956298932279475,0.10877507234083542,0.020787916981959306,-0.026011608076308614,0.07062449876630549,0.5319148936170213
-px_dlow252,replace_roe,10,44,0.20617180117070583,0.15377609048432683,0.05239571068637896,0.01154426243121857,0.09501103141721741,0.7272727272727273
-px_dlow252,replace_roe,20,38,0.24255223386145233,0.17365289250370766,0.06889934135774467,0.04667208242515669,0.10167935919071773,0.868421052631579
+px_mom12_1,add,5,47,0.04820184114362356,0.10877507234083542,-0.06057323119721186,-0.1451232224637659,0.008020514176761704,0.3617021276595745
+px_mom12_1,add,10,44,0.05925560900418012,0.15377609048432683,-0.0945204814801467,-0.19559065042851118,-0.011357523441284316,0.29545454545454547
+px_mom12_1,add,20,38,0.05236365658486819,0.17365289250370766,-0.12128923591883949,-0.20447826925602083,-0.03331937935117451,0.18421052631578946
+px_mom12_1,replace_roe,5,47,0.03008121425320855,0.10877507234083542,-0.07869385808762688,-0.1736071840486802,-0.00033461310398103634,0.3404255319148936
+px_mom12_1,replace_roe,10,44,0.035889970887792694,0.15377609048432683,-0.11788611959653415,-0.22991654072667647,-0.029319000352161145,0.20454545454545456
+px_mom12_1,replace_roe,20,38,0.02496339157388754,0.17365289250370766,-0.14868950092982014,-0.2525363888207837,-0.04363117965008915,0.23684210526315788
-px_mom12_1,add,5,47,0.12953422640886117,0.10877507234083542,0.020759154068025743,-0.013816153794020427,0.0634174169322438,0.5531914893617021
-px_mom12_1,add,10,44,0.19496459176358813,0.15377609048432683,0.04118850127926128,0.005603624854043109,0.08292664607127291,0.75
-px_mom12_1,add,20,38,0.22691144462228055,0.17365289250370766,0.053258552118572784,0.024521058059060984,0.082812194854253,0.8421052631578947
