variant,kind,h,n,ic_var,ic_base,diff,lo,hi,pos
svr1,replace,5,99,0.09398612583861325,0.10099050978194515,-0.007004383943331891,-0.012580205225477597,-0.0016263176359256131,0.3939393939393939
svr1,replace,10,94,0.11569496019993113,0.1267398403803484,-0.011044880180417289,-0.018309622189539257,-0.0035942805055593904,0.30851063829787234
svr1,replace,20,84,0.13553618354867408,0.1527018493410385,-0.017165665792364438,-0.027856521404437628,-0.008223119389351939,0.30952380952380953
svr10,replace,5,97,0.09968662238386773,0.10099050978194515,-0.0018963265183512636,-0.006600183825382298,0.004164938174229301,0.4845360824742268
svr10,replace,10,92,0.12851409383726609,0.1267398403803484,-0.0014471622577717038,-0.007703610198057649,0.006933734364618854,0.43478260869565216
svr10,replace,20,82,0.15980371254252718,0.1527018493410385,0.002736230128783304,-0.0019501469485666291,0.01191519592418282,0.5853658536585366
svr20,replace,5,92,0.10686463603217854,0.10099050978194515,-0.0011533244228148823,-0.01132959871919228,0.010575083046215227,0.5108695652173914
svr20,replace,10,87,0.1362997855891888,0.1267398403803484,0.0017582021105448551,-0.010377292355980177,0.017857682390152955,0.5402298850574713
svr20,replace,20,77,0.17135096130064892,0.1527018493410385,0.007860294063238708,-0.00030588757014814606,0.02398403111445702,0.6103896103896104
svr60,replace,5,72,0.10913288186877357,0.10099050978194515,-0.0037992752237410088,-0.03256899143105082,0.018990224986623408,0.5555555555555556
svr60,replace,10,67,0.14250699013901605,0.1267398403803484,-0.005456687900005616,-0.033460769731296296,0.017002224277691057,0.5373134328358209
svr60,replace,20,57,0.14497929503847698,0.1527018493410385,-0.01843433980018242,-0.03461172120259709,0.0035238461048730622,0.3333333333333333
sval5_amt,replace,5,99,0.1073826159701258,0.10099050978194515,0.006392106188180653,-0.002808832054782537,0.014562554524943079,0.6262626262626263
sval5_amt,replace,10,94,0.1339712081821663,0.1267398403803484,0.0072313678018178775,-0.004856412731280728,0.019776314815490716,0.5851063829787234
sval5_amt,replace,20,84,0.15766388137755274,0.1527018493410385,0.00496203203651422,-0.008402777256671184,0.020273419181265663,0.5714285714285714
sq5_shares,replace,5,99,-0.02644408306933964,0.10099050978194515,-0.1274345928512848,-0.1921570962603611,-0.06036617908346055,0.25252525252525254
sq5_shares,replace,10,94,-0.040739535491940586,0.1267398403803484,-0.16747937587228898,-0.2375901666554229,-0.09758593164027726,0.14893617021276595
sq5_shares,replace,20,84,-0.059791064637316815,0.1527018493410385,-0.2124929139783553,-0.2966096076462443,-0.14059227547004255,0.14285714285714285
sq5_vol,replace,5,99,0.10746256567638841,0.10099050978194515,0.006472055894443268,0.004301483397285452,0.009011635362921145,0.7676767676767676
sq5_vol,replace,10,94,0.13333891687267826,0.1267398403803484,0.006599076492329834,0.004144239250074146,0.009682689860495784,0.7659574468085106
sq5_vol,replace,20,84,0.1575375403991236,0.1527018493410385,0.004835691058085086,0.0016678011368160515,0.00820600729955921,0.7142857142857143
svr5_minus_60,replace,5,72,0.04353904670974667,0.10099050978194515,-0.06939311038276791,-0.1331845818951537,-0.004578183806059569,0.25
svr5_minus_60,replace,10,67,0.05034814742996274,0.1267398403803484,-0.09761553060905893,-0.15040836093307278,-0.027101837189340283,0.1791044776119403
svr5_minus_60,replace,20,57,0.07681570104953576,0.1527018493410385,-0.08659793378912363,-0.1401195429084856,-0.033816968402397556,0.22807017543859648
svr_z60,replace,5,72,0.03223490018640567,0.10099050978194515,-0.0806972569061089,-0.1462254823940329,-0.01346557391563221,0.2361111111111111
svr_z60,replace,10,67,0.0375228008078731,0.1267398403803484,-0.11044087723114855,-0.17002180257524055,-0.04025259497957052,0.19402985074626866
svr_z60,replace,20,57,0.06145187080124004,0.1527018493410385,-0.10196176403741934,-0.1586092207191484,-0.04605923654217518,0.22807017543859648
+cr_rate,add,5,99,0.1043737282093822,0.10099050978194515,0.0033832184274370687,-0.012770258378021858,0.02259529106538067,0.45454545454545453
+cr_rate,add,10,94,0.13548452551007933,0.1267398403803484,0.008744685129730891,-0.001687318641196538,0.02571929993848437,0.43617021276595747
+cr_rate,add,20,84,0.16428148843004378,0.1527018493410385,0.011579639089005268,0.00010633509446258812,0.026291401476468426,0.47619047619047616
-cr_rate,add,5,99,0.08685461023610902,0.10099050978194515,-0.014135899545836121,-0.033386773556411085,-0.002452530259877762,0.2222222222222222
-cr_rate,add,10,94,0.10861438519712979,0.1267398403803484,-0.018125455183218616,-0.035843322877997665,-0.004435979268929736,0.1276595744680851
-cr_rate,add,20,84,0.13815977565395302,0.1527018493410385,-0.014542073687085518,-0.03183250161771794,-0.0005784491358275166,0.16666666666666666
+cr_chg20,add,5,99,0.09622919120107358,0.10099050978194515,-0.004761318580871562,-0.013366007180679904,-0.00017567724938648025,0.18181818181818182
+cr_chg20,add,10,94,0.12509141472327504,0.1267398403803484,-0.001648425657073393,-0.0024584953428365723,9.602329179153906e-08,0.23404255319148937
+cr_chg20,add,20,84,0.15256380537037226,0.1527018493410385,-0.00013804397066627923,-0.0005780033401225432,0.0002916695689325213,0.30952380952380953
-cr_chg20,add,5,99,0.10205464601644157,0.10099050978194515,0.001064136234496434,-0.0006311306980229643,0.0029028996966224156,0.20202020202020202
-cr_chg20,add,10,94,0.12646820232655076,0.1267398403803484,-0.0002716380537976707,-0.0009092062270941417,-7.705371925061261e-05,0.14893617021276595
-cr_chg20,add,20,84,0.1527046575630707,0.1527018493410385,2.8082220321677197e-06,-0.0002869982147371444,0.00035386732166771813,0.30952380952380953
+loan_ratio,add,5,99,0.04369550273664444,0.10099050978194515,-0.05729500704530071,-0.08944784586056947,-0.02401574698269705,0.1919191919191919
+loan_ratio,add,10,94,0.05074622061510828,0.1267398403803484,-0.07599361976524013,-0.11421449641900376,-0.03786354072372775,0.1595744680851064
+loan_ratio,add,20,84,0.060358213954695934,0.1527018493410385,-0.09234363538634258,-0.14502561382758108,-0.04667950769541436,0.2261904761904762
-loan_ratio,add,5,99,0.11682924153574031,0.10099050978194515,0.01583873175379517,-0.019974577381821228,0.04132315898505721,0.5252525252525253
-loan_ratio,add,10,94,0.15079752337995858,0.1267398403803484,0.02405768299961015,-0.011313467507829226,0.05572999703826432,0.574468085106383
-loan_ratio,add,20,84,0.18255082048164747,0.1527018493410385,0.029848971140608978,-0.010752305500210715,0.0752258358582187,0.5119047619047619
+loan_chg20,add,5,99,0.08115771815601591,0.10099050978194515,-0.01983279162592924,-0.03649417721486776,-0.0056407124139437135,0.1717171717171717
+loan_chg20,add,10,94,0.10416759238300118,0.1267398403803484,-0.022572247997347257,-0.03517338225120308,-0.007907878025754718,0.11702127659574468
+loan_chg20,add,20,84,0.12462384796527406,0.1527018493410385,-0.028078001375764456,-0.0428709132026101,-0.01652324860677426,0.047619047619047616
-loan_chg20,add,5,99,0.08504007992466976,0.10099050978194515,-0.015950429857275374,-0.031327464432342265,-0.006226899032302996,0.1717171717171717
-loan_chg20,add,10,94,0.10825619084865758,0.1267398403803484,-0.018483649531690828,-0.033762607302728766,-0.0070691618257431145,0.13829787234042554
-loan_chg20,add,20,84,0.1372579919992626,0.1527018493410385,-0.015443857341775906,-0.02932393417788289,-0.0031884163628822263,0.10714285714285714
+fl_foreign5n,add,5,99,0.07627742753705286,0.10099050978194515,-0.024713082244892295,-0.04027651875734617,-0.012679991998243394,0.1919191919191919
+fl_foreign5n,add,10,94,0.08972501584193293,0.1267398403803484,-0.037014824538415494,-0.059924605816743,-0.019675819713501914,0.10638297872340426
+fl_foreign5n,add,20,84,0.11789423009563416,0.1527018493410385,-0.034807619245404355,-0.0592387875858732,-0.009793666666765713,0.11904761904761904
-fl_foreign5n,add,5,99,0.08461796893373094,0.10099050978194515,-0.0163725408482142,-0.033886477927079314,7.53748043597592e-05,0.20202020202020202
