name,date,net,benchmark,excess,kospi,n_filled,missing_exit
R1,20240801,0.19105754815752193,-0.05097746518481956,0.2420350133423415,0.45,20,0
R1,20240902,0.14727124496122032,-0.03939556892786347,0.1866668138890838,0.6,20,0
R1,20241002,-0.14108122812582868,-0.07173824924324029,-0.06934297888258839,0.5,20,0
R1,20241101,-0.07904337931105992,-0.026999226787610853,-0.05204415252344907,0.5,20,0
R1,20241202,0.10254702616025002,0.10824270309442409,-0.005695676934174068,0.45,20,0
R1,20250102,0.027590405358480414,0.1522758078639192,-0.12468540250543879,0.35,20,0
R1,20250203,0.24056080115274064,0.21386250497823733,0.02669829617450331,0.5,20,0
R1,20250304,0.29694792838808687,0.16822548552885763,0.12872244285922924,0.55,20,0
R1,20250401,0.21714384845327023,0.2939187871773412,-0.07677493872407098,0.35,20,0
R1,20250502,0.6344624725644719,0.45279792664267693,0.18166454592179493,0.5,20,0
R1,20250602,0.7546498355613518,0.29677633049770935,0.45787350506364244,0.4,20,0
R1,20250701,0.5620170988571581,0.2760926915352621,0.285924407321896,0.6,20,0
R1,20250801,0.6959665885817384,0.5822315975572636,0.11373499102447482,0.6,20,0
R1,20250901,0.6911549574091956,0.58311786034628,0.10803709706291564,0.5,20,0
R1,20251001,0.3738769470815111,0.27250609807765913,0.10137084900385196,0.15,20,0
R1,20251103,0.7129265226421971,0.428209677661145,0.28471684498105215,0.45,20,0
R1,20251201,0.4680978592146687,0.3247414877142242,0.1433563715004445,0.2,20,0
R1,20260102,0.17174817412199733,-0.01375121478406871,0.18549938890606604,0.1,20,0
R1,20260202,-0.20619245148359322,-0.16701265425405204,-0.03917979722954118,0.35,20,0
R1,20260303,0.16336685090437802,0.13164555972416458,0.03172129118021344,0.55,20,0
R1_amount,20240801,0.18401051777630462,-0.05087505985053877,0.2348855776268434,0.4,20,0
R1_amount,20240902,0.09063718925581937,-0.04140984761425756,0.13204703687007693,0.4,20,0
R1_amount,20241002,-0.15182814396407127,-0.07173824924324029,-0.08008989472083097,0.5,20,0
R1_amount,20241101,-0.028878097679137908,-0.023853559732656883,-0.0050245379464810246,0.6,20,0
R1_amount,20241202,0.2429218097525479,0.10974563999489828,0.13317616975764962,0.5,20,0
R1_amount,20250102,0.06641149620630912,0.1674287429604472,-0.10101724675413809,0.45,20,0
R1_amount,20250203,0.14750725388022054,0.21386250497823733,-0.0663552510980168,0.5,20,0
R1_amount,20250304,0.265440542323,0.18628097820897624,0.07915956411402378,0.65,20,0
R1_amount,20250401,0.1853385157000527,0.3079616042273322,-0.12262308852727952,0.45,20,0
R1_amount,20250502,0.8416728156166239,0.5090562252370212,0.3326165903796027,0.65,20,0
R1_amount,20250602,0.726433452928953,0.3168322384777038,0.4096012144512492,0.5,20,0
R1_amount,20250701,0.5991252867741835,0.28445100031491105,0.3146742864592725,0.65,20,0
R1_amount,20250801,0.6441093388850399,0.5725464856205976,0.07156285326444223,0.55,20,0
R1_amount,20250901,0.7247660150256979,0.6185298455137727,0.10623616951192527,0.6,20,0
R1_amount,20251001,0.5687471436277379,0.30346372896856966,0.26528341465916827,0.25,20,0
