name,n,net,net_lo,net_hi,excess,excess_lo,excess_hi
R1,20,0.30125345253248786,0.08087449815552814,0.5408877297008233,0.10551494557161234,0.022162195142732218,0.18106748467196643
R1_amount,20,0.3520988435244834,0.10941007339600525,0.5978652302071032,0.12596473279042172,0.03167941324349336,0.2086301968257318
beta_near,20,0.30870139905845234,0.08070044111720959,0.5493096042690435,0.1350265502041469,0.03508738297262069,0.2302677745619669
size_only,20,0.27036290682711595,0.05551984193650173,0.45978106822509557,-0.1099783046987837,-0.16103489397766338,-0.0711067224896248
amount_only,20,0.2822137929012159,0.13290905810014902,0.41051782932626024,-0.04000798560556132,-0.1531311423376125,0.06732362636950731
beta_only,20,0.16544540625707788,-0.04476971667264865,0.40524398766110586,0.007562408480097001,-0.11231860816541221,0.12235016949173567
momentum_only,20,0.09453581948053749,-0.10286423667932484,0.2761333567636915,-0.0814464688194035,-0.17718902104242507,0.009901489779150181
near_only,20,0.05162613194396255,-0.08743169770395626,0.17950951290796605,-0.15861864294682246,-0.24079436077413796,-0.05980957702107001
