name,ticker,mean_cohort_gross_contribution
R1,000100,-0.000969068298705597
R1,000150,0.02086703925606959
R1,000155,0.020962996031115066
R1,000157,0.005656183837195192
R1,000250,-0.0013915138951868886
R1,000320,-0.0009413793103448275
R1,000500,0.00024653979238754343
R1,000520,-0.0013852044790652388
R1,000660,0.016878743358804186
R1,000720,4.728132387706863e-05
R1,000810,6.034482758620674e-05
R1,000880,-0.00039144050104384124
R1,001250,-0.0007917789757412399
R1,001270,0.0009519230769230769
R1,001380,-0.0021007802935747014
R1,001440,0.0003598848368522073
R1,002020,0.0015995576486738995
R1,002025,0.00048715203426124177
R1,002410,-0.0008026315789473684
R1,002630,-0.0018300086730268863
R1,003160,-0.0007283855484159035
R1,003350,-0.002386896979410555
R1,004140,-0.0010170390481277075
R1,004800,0.00360964526158841
R1,004870,-0.0008414187149633461
R1,005430,-0.0007328767123287672
R1,005690,0.0018625250963520195
R1,005930,0.0013617886178861787
R1,006800,0.006133413651618895
R1,006805,0.005447141045880157
R1,007110,0.0014246323529411764
R1,007390,0.003698104457982307
R1,007660,0.0019225346601073347
R1,007720,-0.0008496574309187954
R1,007810,0.004921874614948618
R1,007815,-0.0006428571428571428
R1,008830,-0.00034747868125965223
R1,008970,-0.0010056818181818181
R1,009070,-0.0005360721442885771
R1,009540,0.0024595897630044798
R1,009970,0.0013107511045655374
R1,010120,0.01308967995121714
R1,010130,-0.0016640090134462887
R1,010140,0.0025201969260326613
R1,010170,0.012915140415140415
R1,011080,-0.0017142623353244416
R1,012170,-0.0013714285714285714
R1,012450,0.003818756485076242
R1,013890,-0.0006322505800464037
R1,014820,-0.000835850956696878
R1,014940,0.003104686838764283
R1,015760,0.0007744565217391303
R1,016610,0.0014269141531322504
R1,018290,0.00022564840345489556
R1,023590,-1.3368983957219305e-05
R1,025950,-0.0019016272189349111
R1,030530,0.04874840580575797
R1,032820,-0.00021444695259593665
R1,032940,-0.0015
R1,033640,0.0003708133971291866
R1,033790,-0.004790390643359147
R1,034020,0.0037111857547280245
R1,035510,0.0006629082426127525
R1,036560,-0.0014249681556403786
R1,036630,0.0002178602243313199
R1,039030,0.00031120331950207467
R1,039490,-0.0009945054945054946
R1,039610,7.642998027613423e-05
R1,041190,-0.0010943223443223443
R1,042660,0.002473977297065753
R1,042700,-0.00035714285714285725
R1,043260,0.0005189112515604969
R1,044490,-0.0007175846424376472
R1,044820,-0.0007623736029803086
R1,049630,-0.0020185280099633556
R1,051980,-0.003451153530800917
R1,052220,-0.0008176877470355732
R1,053030,-0.0005693435018305468
