name,matched,date,nav_before,target,invested,cash_after
R1,False,20240802,1.0,0.16666666666666666,0.16666666666666666,0.8329166666666667
R1,False,20240903,1.0006425438328144,0.16677375730546906,0.166773757305469,0.6657259749679336
R1,False,20241004,1.0369453441859104,0.17282422403098507,0.17282422403098513,0.4924696903768702
R1,False,20241104,1.057747531914879,0.1762912553191465,0.1762912553191465,0.3157377069194259
R1,False,20241203,0.9476580206222043,0.15794300343703405,0.15794300343703402,0.15739984597379936
R1,False,20250103,1.0000265178239178,0.1666710863039863,0.15700732765466277,5.551115123125783e-17
R1,False,20250204,1.0110957324415855,0.1685159554069309,5.537271943267614e-17,-1.771855548836257e-32
R1,False,20250305,1.0574105429339489,0.17623509048899147,0.17623509048899147,0.022168889165974044
R1,False,20250402,0.9762321368282004,0.1627053561380334,0.16270535613803336,0.05074495308243565
R1,False,20250507,1.0237077595174722,0.1706179599195787,0.17061795991957876,0.19146323430432322
R1,False,20250604,1.1079919048319482,0.18466531747199136,0.1846653174719914,0.006336253538651859
R1,False,20250702,1.1627589653918626,0.19379316089864376,0.180377290811729,-9.020562075079397e-17
R1,False,20250804,1.19503420348241,0.19917236724706833,0.1613156603061466,3.469446951953614e-18
R1,False,20250902,1.1946779544003814,0.19911299240006355,0.19911299240006347,0.023296753061253617
R1,False,20251002,1.3733661227385892,0.22889435378976486,0.22109623920245736,4.5102810375396984e-17
R1,False,20251104,1.745768504139899,0.2909614173566498,0.27832662152376497,1.0061396160665481e-16
R1,False,20251202,1.6346297161552954,0.27243828602588255,0.27243828602588244,0.051014548043718744
R1,False,20260105,1.8175662010461826,0.30292770017436377,0.30292770017436366,0.029277191819059748
R1,False,20260203,2.195946000479559,0.36599100007992647,0.30222818837289495,3.469446951953614e-18
R1,False,20260304,1.8240526596409437,0.30400877660682396,3.4607949645422587e-18,-1.1074097180226606e-33
R1,True,20240802,1.0,0.16666666666666666,0.16666666666666669,0.8329166666666667
R1,True,20240903,0.9970292445594153,0.16617154075990256,0.16617154075990256,0.6663296970548644
R1,True,20241004,0.992167434434444,0.16536123907240732,0.16536123907240732,0.5005550548847761
R1,True,20241104,0.9889770177307626,0.1648295029551271,0.1648295029551271,0.3353134781722612
R1,True,20241203,0.950366024832065,0.15839433747201084,0.15839433747201084,0.17652315485657033
R1,True,20250103,0.9489774107695699,0.1581629017949283,0.1581629017949283,0.01796484580715471
R1,True,20250204,0.9655874006270524,0.16093123343784208,0.017920045692922406,0.0
R1,True,20250305,0.9969366233709833,0.1661561038951639,0.15738154255663217,0.0
R1,True,20250402,0.9497752783762066,0.15829587972936776,0.15829587972936776,0.0005344361474252379
R1,True,20250507,0.9812086220874655,0.16353477034791092,0.16353477034791092,0.14968388161807644
R1,True,20250604,1.0264809226580294,0.17108015377633823,0.14931060510531316,1.3877787807814457e-17
R1,True,20250702,1.0891572083574195,0.18152620139290324,0.1746638606414411,-1.3877787807814457e-17
R1,True,20250804,1.0992185407802473,0.1832030901300412,0.1832030901300412,0.019828659746136706
R1,True,20250902,1.1104816569775067,0.18508027616291778,0.18508027616291778,0.017683169036897595
R1,True,20251002,1.2140364738070744,0.20233941230117905,0.20233941230117905,0.019147865887772952
R1,True,20251104,1.359415178180965,0.22656919636349415,0.22656919636349415,0.029001264390562803
R1,True,20251202,1.3370031375996754,0.22283385626661256,0.22158570258049,-5.551115123125783e-17
R1,True,20260105,1.411306292896521,0.2352177154827535,0.22177561880276986,0.0
R1,True,20260203,1.6791018156611657,0.2798503026101943,0.2798503026101943,0.008595115312228008
R1,True,20260304,1.491853204909173,0.24864220081819552,0.008573681109454372,0.0
R1_amount,False,20240802,1.0,0.16666666666666666,0.16666666666666666,0.8329166666666667
R1_amount,False,20240903,0.9962097214941117,0.16603495358235196,0.16603495358235193,0.6664666257003584
R1_amount,False,20241004,1.0238768547124486,0.17064614245207477,0.1706461424520748,0.4953938678921524
R1_amount,False,20241104,1.0350032404038758,0.17250054006731264,0.1725005400673126,0.32246207647467134
R1_amount,False,20241203,0.9288197409402428,0.15480329015670713,0.15480329015670707,0.16727177809257252
R1_amount,False,20250103,0.996476702795868,0.166079450465978,0.16607945046597797,0.0007771290004295432
R1_amount,False,20250204,1.03540880148039,0.17256813358006498,0.0007751910228723625,-2.168404344971009e-19
