name,matched,start,end,n_entries,total,cagr,mdd,average_exposure,cash_limited_entries,delayed_exits,remaining_positions,final_cash
R1,False,20240802,20260827,20,1.1206385420315348,0.46062655390230867,-0.21960355315226687,0.7194383837602366,8,1,1,2.1146558244859874
R1,True,20240802,20260827,20,0.6250812971386936,0.27726510218438993,-0.18103397409860555,0.7144944506939146,7,0,0,1.6250812971386936
R1_amount,False,20240802,20260827,20,1.4305194080699706,0.5645604333405521,-0.22546875828917556,0.7214562821749447,7,1,1,2.4243865275215963
R1_amount,True,20240802,20260827,20,0.734645422410634,0.31996434466131474,-0.18306627509578755,0.7139376942656203,7,0,0,1.734645422410634
beta_near,False,20240802,20260827,20,1.248858821835471,0.5044887510900882,-0.22421010779849493,0.7179178584833946,7,1,1,2.248084049312369
beta_near,True,20240802,20260827,20,0.5401449765150448,0.24317150851161817,-0.18018621414058367,0.7154587022426956,7,0,0,1.5401449765150448
size_only,False,20240802,20260827,20,0.9363174387353357,0.3951990909512888,-0.1949980297058621,0.7175153737299267,6,1,0,1.9363174387353357
size_only,True,20240802,20260827,20,1.4393099231417525,0.5674098049750562,-0.19226701293397197,0.7190082753140475,7,0,0,2.4393099231417525
amount_only,False,20240802,20260827,20,0.9863553619598688,0.41325555539021264,-0.20499897445751236,0.7122617026546177,6,0,0,1.9863553619598688
amount_only,True,20240802,20260827,20,1.1677521197438296,0.47689237490151926,-0.18915393655502277,0.7177760021025354,8,0,0,2.1677521197438296
beta_only,False,20240802,20260827,20,0.6313792560200331,0.27975751231861823,-0.24418032482286411,0.715019640884971,5,9,8,1.589117884575347
beta_only,True,20240802,20260827,20,0.5114242586364823,0.23143286423755427,-0.1798017145495433,0.7122103875369415,8,0,0,1.5114242586364823
momentum_only,False,20240802,20260827,20,0.25283975494499455,0.12031292144062378,-0.22587390054444367,0.711913012517961,7,2,0,1.2528397549449946
momentum_only,True,20240802,20260827,20,0.5755915761918826,0.2575104411598055,-0.18206629502057214,0.7119275400822824,7,0,0,1.5755915761918826
near_only,False,20240802,20260827,20,0.2009385096568055,0.09667632670971327,-0.18091236391226906,0.7066861106529791,6,3,0,1.2009385096568055
near_only,True,20240802,20260827,20,0.6907225863930133,0.3030121539260473,-0.1828456813309004,0.714014345317808,8,0,0,1.6907225863930133
