name,date,ticker,gross,filled
R1,20240801,033790,-0.7016861219195849,True
R1,20240801,012450,0.4065191988912742,True
R1,20240801,053030,0.20765027322404372,True
R1,20240801,087010,0.5366786785833346,True
R1,20240801,107640,-0.3115151515151515,True
R1,20240801,000150,0.9382964453386988,True
R1,20240801,281820,-0.17322834645669294,True
R1,20240801,402340,0.2951251646903821,True
R1,20240801,000155,0.42841765339074267,True
R1,20240801,000250,0.1754874651810585,True
R1,20240801,305090,-0.035304501323918824,True
R1,20240801,000660,0.17494226327944573,True
R1,20240801,003350,-0.24299835255354196,True
R1,20240801,004140,-0.2845528455284553,True
R1,20240801,145020,0.0721868365180467,True
R1,20240801,323280,2.142536475869809,True
R1,20240801,950160,0.6896948762233737,True
R1,20240801,032820,-0.08577878103837466,True
R1,20240801,005430,-0.29315068493150687,True
R1,20240801,314930,-0.01816958277254377,True
R1,20240902,003350,-0.4360189573459715,True
R1,20240902,305090,-0.2688477951635846,True
R1,20240902,323280,0.6908645515922807,True
R1,20240902,033790,-0.4486586493987049,True
R1,20240902,337930,-0.41006523765144454,True
R1,20240902,310210,0.749691738594328,True
R1,20240902,103590,0.4084145715751668,True
R1,20240902,281820,-0.007396449704141994,True
R1,20240902,107640,-0.46853146853146854,True
R1,20240902,004140,-0.12226277372262773,True
R1,20240902,402340,0.11499999999999999,True
R1,20240902,009070,-0.21442885771543085,True
R1,20240902,000660,0.11645870469399888,True
R1,20240902,000150,1.0133333333333332,True
R1,20240902,087010,0.9737419864758057,True
R1,20240902,003160,-0.09913453973249409,True
R1,20240902,082740,0.9366993217784476,True
R1,20240902,009540,0.28942999446596573,True
R1,20240902,071970,0.6573816155988859,True
R1,20240902,257720,-0.4302461899179367,True
R1,20241002,337930,-0.511164274322169,True
R1,20241002,003350,-0.2994722955145118,True
R1,20241002,310210,0.11852589641434252,True
R1,20241002,000520,-0.319620253164557,True
R1,20241002,323280,-0.2860903769318921,True
R1,20241002,033790,-0.4461709211986682,True
R1,20241002,305090,-0.37665782493368705,True
R1,20241002,314930,-0.4776315789473684,True
R1,20241002,001250,-0.316711590296496,True
R1,20241002,234690,-0.27353463587921845,True
R1,20241002,103590,0.16513761467889898,True
R1,20241002,402340,0.1653944020356235,True
R1,20241002,089030,-0.156498673740053,True
R1,20241002,281820,-0.07007299270072997,True
R1,20241002,000660,0.11774842044801836,True
R1,20241002,267260,-0.09161490683229812,True
R1,20241002,053030,-0.43538767395626243,True
R1,20241002,000100,-0.2511880515953836,True
R1,20241002,063160,-0.16638078902229847,True
R1,20241002,087010,1.1897659429421363,True
R1,20241101,310210,-0.16068376068376067,True
R1,20241101,323280,-0.3871874808973653,True
R1,20241101,003350,-0.3404761904761905,True
R1,20241101,950210,-0.2123745819397993,True
R1,20241101,087010,0.957471264367816,True
R1,20241101,000520,-0.2344615384615385,True
R1,20241101,314930,-0.2717821782178218,True
R1,20241101,033790,-0.3196405648267009,True
R1,20241101,014820,-0.3343403826787512,True
R1,20241101,337930,-0.22154963680387407,True
R1,20241101,007110,0.5698529411764706,True
R1,20241101,234690,-0.14467697907188348,True
R1,20241101,036560,-0.3327749860413177,True
R1,20241101,000150,0.7270844122216469,True
R1,20241101,013890,-0.2529002320185615,True
R1,20241101,067080,-0.061797752808988804,True
R1,20241101,305090,-0.2647058823529411,True
R1,20241101,103590,-0.020408163265306145,True
R1,20241101,402340,0.016703786191536674,True
R1,20241101,003160,-0.19221967963386732,True
