name,family,date,year,h,net,excess,benchmark,slots,filled,win2x,loss30,top2_to_cash,missing_exit,kospi_weight,kosdaq_weight
base_beta_near,baseline,20240801,2024,60,0.06169822615306808,0.09790878074226916,-0.03621055458920108,20,20,0.0,0.1,0.01530879272301045,0,0.5,0.5
base_beta_near,baseline,20240801,2024,120,0.08592803079683835,0.1370079013159387,-0.051079870519100345,20,20,0.0,0.15,0.00452846471873473,0,0.5,0.5
base_beta_near,baseline,20240801,2024,180,0.29654179319817875,0.3519335181604486,-0.05539172496226985,20,20,0.3,0.2,0.11664837105493975,0,0.5,0.5
base_beta_near,baseline,20240902,2024,60,-0.07160040252894176,0.015646889470361372,-0.08724729199930313,20,20,0.05,0.25,-0.15198720832213283,0,0.65,0.35
base_beta_near,baseline,20240902,2024,120,0.15526602832169234,0.19415802757795728,-0.038891999256264936,20,20,0.05,0.25,0.0559122623312354,0,0.65,0.35
base_beta_near,baseline,20240902,2024,180,0.3768966374190414,0.32850309129280003,0.04839354612624138,20,20,0.15,0.2,0.1044893308413651,0,0.65,0.35
base_beta_near,baseline,20241002,2024,60,-0.0649456785924537,0.019795014792343246,-0.08474069338479695,20,20,0.05,0.2,-0.14669092641897594,0,0.55,0.45
base_beta_near,baseline,20241002,2024,120,-0.03504588273683387,0.03274886718302571,-0.06779474991985958,20,20,0.05,0.35,-0.14174571834547914,0,0.55,0.45
base_beta_near,baseline,20241002,2024,180,0.3382895347919616,0.20705884588008638,0.13123068891187523,20,20,0.15,0.25,0.06046216764047256,0,0.55,0.45
base_beta_near,baseline,20241101,2024,60,-0.10943450997211404,-0.07872561107940249,-0.030708898892711556,20,20,0.0,0.2,-0.16446777327743617,0,0.5,0.5
base_beta_near,baseline,20241101,2024,120,-0.06049919428243718,-0.033499967494826324,-0.026999226787610853,20,20,0.05,0.25,-0.16884894797701847,0,0.5,0.5
base_beta_near,baseline,20241101,2024,180,0.08720992051523957,-0.07349428912246037,0.16070420963769994,20,20,0.1,0.15,-0.10394443088049113,0,0.5,0.5
base_beta_near,baseline,20241202,2024,60,0.09913109139305218,0.05694089967240585,0.04219019172064633,20,20,0.05,0.05,-0.008900127098937945,0,0.4,0.6
base_beta_near,baseline,20241202,2024,120,0.19229757147409743,0.08555780528014753,0.1067397661939499,20,20,0.1,0.1,0.03846739599555023,0,0.4,0.6
base_beta_near,baseline,20241202,2024,180,0.10629916629906855,-0.07836770157167122,0.18466686787073977,20,20,0.1,0.15,-0.07264370766589565,0,0.4,0.6
base_beta_near,baseline,20250102,2025,60,0.034916018933936754,0.04311857064011232,-0.008202551706175565,20,20,0.0,0.15,-0.036505756610451856,0,0.5,0.5
base_beta_near,baseline,20250102,2025,120,0.11218794785004402,-0.06281726265866719,0.1750052105087112,20,20,0.0,0.1,0.03500570329393013,0,0.5,0.5
base_beta_near,baseline,20250102,2025,180,0.21154791364637898,-0.09087294427437115,0.30242085792075013,20,20,0.05,0.15,-0.028361307969124522,0,0.5,0.5
base_beta_near,baseline,20250203,2025,60,0.0023529746833981222,-0.010880259894916646,0.013233234578314768,20,20,0.0,0.1,-0.035454145976758535,0,0.5,0.5
base_beta_near,baseline,20250203,2025,120,0.09848318288277465,-0.11537932209546269,0.21386250497823733,20,20,0.05,0.15,-0.003953675144522402,0,0.5,0.5
base_beta_near,baseline,20250203,2025,180,0.434967012584521,-0.007163156944685056,0.44213016952920603,20,20,0.1,0.25,0.12013261035056322,0,0.5,0.5
base_beta_near,baseline,20250304,2025,60,0.15517983806292118,0.13530865205593798,0.01987118600698321,20,20,0.05,0.0,0.061590211588877265,0,0.45,0.55
